options	distribution:appos	distribution:cc	distribution:comp	distribution:comp:aux	distribution:comp:obj	distribution:comp:obl	distribution:comp:pred	distribution:compound	distribution:conj	distribution:conj:emb	distribution:det	distribution:discourse	distribution:dislocated	distribution:flat	distribution:mod	distribution:orphan	distribution:parataxis	distribution:punct	distribution:subj	distribution:total	distribution:udep	distribution:unk	distribution:vocative
distribution:det	0.039337765	0.031375237	0.15164377	0.03288192	0.10271292	0.03486295	0.03180794	0.04344281	0.036124807	0.042683862	0.0	0.038931563	0.041621804	0.037952106	0.12544236	0.04439169	0.0388533	0.08971939	0.053805284	308977.8	0.04613057	0.039966214	0.039945595
distribution:discourse	0.011090444	0.026363298	0.18044192	0.02493688	0.13237798	0.013838368	0.01549617	0.019904317	0.033575978	0.0071838554	0.038931563	0.0	0.012452542	0.012260444	0.15484576	0.008575507	0.008476957	0.113576956	0.06342788	316794.0	0.07145561	0.01962897	0.008567531
distribution:dislocated	0.0058357893	0.027318032	0.1875629	0.020750847	0.13960613	0.01061	0.014478833	0.01695926	0.034417704	0.0028620756	0.041621804	0.012452542	0.0	0.00914931	0.1654029	0.0027241304	0.009932414	0.12047614	0.07238984	299567.84	0.073735245	0.016152786	0.0026965456
distribution:flat	0.007208222	0.020529695	0.18529	0.019828403	0.13605021	0.011575625	0.012823263	0.016731557	0.029287292	0.009517023	0.037952106	0.012260444	0.00914931	0.0	0.15976283	0.010059718	0.009112333	0.11202413	0.06316646	310158.94	0.070029795	0.014164791	0.008906914
distribution:mod	0.16216289	0.14140928	0.08031605	0.14522065	0.06707684	0.15348482	0.15017885	0.1508833	0.13365546	0.17073944	0.12544236	0.15484576	0.1654029	0.15976283	0.0	0.17613423	0.15978673	0.06660206	0.09789886	287311.2	0.095202304	0.15522303	0.17119576
distribution:orphan	0.0049450723	0.02829183	0.18513775	0.021798823	0.13572817	0.010411127	0.015141572	0.010692656	0.03975493	0.0019028571	0.04439169	0.008575507	0.0027241304	0.010059718	0.17613423	0.0	0.008330294	0.12768787	0.07268986	374449.3	0.07429845	0.010394648	0.0016054688
distribution:parataxis	0.007999775	0.023811134	0.18314654	0.021741075	0.13396807	0.011981042	0.014298527	0.011977241	0.029711837	0.006594217	0.0388533	0.008476957	0.009932414	0.009112333	0.15978673	0.008330294	0.0	0.11676011	0.06374317	306429.12	0.070865564	0.015086526	0.007865854
distribution:punct	0.11812352	0.09910029	0.09857458	0.09639745	0.07292589	0.11024752	0.10771649	0.11042547	0.091144554	0.11669783	0.08971939	0.113576956	0.12047614	0.11202413	0.06660206	0.12768787	0.11676011	0.0	0.059385233	300116.3	0.060146794	0.109959394	0.12642628
distribution:subj	0.066312574	0.04867673	0.12106053	0.050941683	0.07522114	0.06362213	0.05456654	0.0635429	0.04316074	0.068896405	0.053805284	0.06342788	0.07238984	0.06316646	0.09789886	0.07268986	0.06374317	0.059385233	0.0	287311.28	0.03557124	0.06378057	0.07067353
distribution:total	330711.8	297746.06	287311.16	304075.8	287311.22	303261.66	314838.88	313425.66	285009.97	343181.28	308977.8	316794.0	299567.84	310158.94	287311.2	374449.3	306429.12	300116.3	287311.28	0.0	289839.44	308964.7	336576.22
distribution:udep	0.07444402	0.053081285	0.11781035	0.05567151	0.06960531	0.068743646	0.06369019	0.065009795	0.048106544	0.07704775	0.04613057	0.07145561	0.073735245	0.070029795	0.095202304	0.07429845	0.070865564	0.060146794	0.03557124	289839.44	0.0	0.07114538	0.074902855
distribution:unk	0.018265521	0.027787885	0.17932367	0.023381213	0.13064896	0.01927702	0.014449703	0.021544946	0.036424905	0.015853034	0.039966214	0.01962897	0.016152786	0.014164791	0.15522303	0.010394648	0.015086526	0.109959394	0.06378057	308964.7	0.07114538	0.0	0.013905783
distribution:vocative	0.005368861	0.026175765	0.18870847	0.023461625	0.13808623	0.010081786	0.0150224995	0.014284102	0.037043296	0.0022937334	0.039945595	0.008567531	0.0026965456	0.008906914	0.17119576	0.0016054688	0.007865854	0.12642628	0.07067353	336576.22	0.074902855	0.013905783	0.0
