options	distribution:appos	distribution:cc	distribution:comp	distribution:comp:aux	distribution:comp:obj	distribution:comp:obl	distribution:comp:pred	distribution:compound	distribution:conj	distribution:conj:emb	distribution:det	distribution:discourse	distribution:dislocated	distribution:flat	distribution:mod	distribution:orphan	distribution:parataxis	distribution:punct	distribution:subj	distribution:total	distribution:udep	distribution:unk	distribution:vocative
distribution:det	0.016466283484509115	0.01486650889351864	0.03531400017116381	0.01557840259981827	0.02460192512063419	0.015743825963871208	0.015644074297275674	0.016941674497743316	0.01615850976172914	0.018150164781372404	0.0	0.015429689449334295	0.019746994360899314	0.017730079400233734	0.029694321576286764	0.02445029495637628	0.01497815137991876	0.02897902031165327	0.017982080116035033	inf	0.01719801145441392	0.01755959422964799	0.020106796803099385
distribution:discourse	0.007065089336082117	0.008288041041914825	0.03427480015100217	0.009294362295241583	0.025356977274923614	0.006384995343873827	0.007447101631943061	0.007522882664040343	0.011108152837638396	0.007132462092808315	0.015429689449334295	0.0	0.00762547633444616	0.006381411022610134	0.031598199764496	0.00843114547493044	0.005824828606385451	0.03504034582075182	0.015796694002653423	inf	0.01860440560061522	0.010580101506463413	0.007399979367184995
distribution:dislocated	0.002739859810957672	0.009628439849277711	0.08846823137197922	0.011573159142045786	0.05575048355829148	0.0054371091101667	0.006046863762955917	0.010211369756496313	0.013945054687909632	0.0010727000863928545	0.019746994360899314	0.00762547633444616	0.0	0.004645581498290553	0.057861286660899285	0.0012406208935905906	0.004797501917238589	0.06638109765085233	0.020956623773633335	inf	0.035645996912931785	0.012418814363150761	0.0012423934288395262
distribution:flat	0.004124971077992366	0.006815687865967963	0.05600497493131913	0.009675179101243804	0.03969148346172866	0.004578737859372739	0.005162186818580105	0.00874876796751094	0.010726589036275106	0.0038956634459957	0.017730079400233734	0.006381411022610134	0.004645581498290553	0.0	0.038599706292152404	0.004410756911550249	0.004456095731080468	0.04751049199800813	0.018486895709457794	inf	0.018960968280831974	0.011091448804911445	0.004182602737990903
distribution:mod	0.03439783416508477	0.03694568261867616	0.027563517525692114	0.03213685750961304	0.024550217848557692	0.040914063818717115	0.03795134199076686	0.03287048784562343	0.032136841425820004	0.05032300172994534	0.029694321576286764	0.031598199764496	0.057861286660899285	0.038599706292152404	0.0	0.07499850688580267	0.03137794256210327	0.027828952244349888	0.026372494904891304	inf	0.02786714628518346	0.03363819601674559	0.0647440549541027
distribution:orphan	0.0028063071717461235	0.012792716485372982	0.09236788553626914	0.014147982674260293	0.06813049896970971	0.005432000083308066	0.006864268671382557	0.011397764315971962	0.019254263944742157	0.0011365133173325483	0.02445029495637628	0.00843114547493044	0.0012406208935905906	0.004410756911550249	0.07499850688580267	0.0	0.005329642528878119	0.10318698297286856	0.035057104233675786	inf	0.06840082584333813	0.012617111595627529	0.0007992739816313809
distribution:parataxis	0.004349776203670199	0.007119768316095526	0.042643328716880397	0.008724629878997803	0.03127413395187618	0.004315141421645435	0.005128213223194916	0.008030922072274344	0.010015865943951313	0.0046939908207713306	0.01497815137991876	0.005824828606385451	0.004797501917238589	0.004456095731080468	0.03137794256210327	0.005329642528878119	0.0	0.036676784250188	0.01994215381083064	inf	0.018508846895682378	0.009681595338357461	0.004724084905215672
distribution:punct	0.034480453468859196	0.0376025384931422	0.026986054971184528	0.030190058782988905	0.024104191706730768	0.04348414835303721	0.03701975911554664	0.040093197904784106	0.03102907034067007	0.061160091537138375	0.02897902031165327	0.03504034582075182	0.06638109765085233	0.04751049199800813	0.027828952244349888	0.10318698297286856	0.036676784250188	0.0	0.027767834742424898	inf	0.02711311098817107	0.031373653913799086	0.06682349443435669
distribution:subj	0.021603997568694914	0.01594908033098493	0.029562124934221178	0.014754288924668364	0.020849217249694484	0.01672081432150836	0.016041439218619436	0.015068695440397158	0.014671521850779086	0.017131327958631266	0.017982080116035033	0.015796694002653423	0.020956623773633335	0.018486895709457794	0.026372494904891304	0.035057104233675786	0.01994215381083064	0.027767834742424898	0.0	inf	0.015772399788131258	0.019703673792409372	0.03027161019189017
distribution:total	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0	inf	inf	inf
distribution:udep	0.017566538155078887	0.015376892642698425	0.029418608644506433	0.01638281463396431	0.020218057452507737	0.02031642028263637	0.014958793626112096	0.01951666973732613	0.016201489915450413	0.03402488125103146	0.01719801145441392	0.01860440560061522	0.035645996912931785	0.018960968280831974	0.02786714628518346	0.06840082584333813	0.018508846895682378	0.02711311098817107	0.015772399788131258	inf	0.0	0.01876809142884754	0.048539691621607
distribution:unk	0.011225695376629596	0.011886287855621952	0.038800485170067255	0.012789758100901565	0.03305586498586377	0.010637872607995433	0.01112078536640514	0.010931501717403017	0.013283059176276712	0.010746168739655438	0.01755959422964799	0.010580101506463413	0.012418814363150761	0.011091448804911445	0.03363819601674559	0.012617111595627529	0.009681595338357461	0.031373653913799086	0.019703673792409372	inf	0.01876809142884754	0.0	0.011795886282650929
distribution:vocative	0.0024519129232926803	0.010382859067543925	0.08290424081216376	0.011846235870609623	0.06141054019870528	0.005002567832101911	0.005601256224461374	0.010071633579014064	0.015918880701065063	0.0010387095911749478	0.020106796803099385	0.007399979367184995	0.0012423934288395262	0.004182602737990903	0.0647440549541027	0.0007992739816313809	0.004724084905215672	0.06682349443435669	0.03027161019189017	inf	0.048539691621607	0.011795886282650929	0.0
