options	distribution:acl	distribution:acl:relcl	distribution:advcl	distribution:advmod	distribution:amod	distribution:appos	distribution:aux	distribution:case	distribution:cc	distribution:ccomp	distribution:compound	distribution:conj	distribution:cop	distribution:csubj	distribution:dep	distribution:det	distribution:discourse	distribution:dislocated	distribution:fixed	distribution:flat	distribution:iobj	distribution:mark	distribution:nmod	distribution:nsubj	distribution:nummod	distribution:obj	distribution:obl	distribution:orphan	distribution:parataxis	distribution:punct	distribution:total	distribution:vocative	distribution:xcomp
distribution:mark	0.016699517	0.018266017	0.017992675	0.039237246	0.029300066	0.020868186	0.020655606	0.057858367	0.018662151	0.019095479	0.028630119	0.027744947	0.015451379	0.023740942	0.030218251	0.033865396	0.025492562	0.025832668	0.021855468	0.019740155	0.022059137	0.0	0.04979625	0.043677386	0.01898549	0.023692956	0.04417416	0.021700416	0.02152118	0.108757325	inf	0.023188893	0.01656568
distribution:nmod	0.054537084	0.058132723	0.051623505	0.04583915	0.033791777	0.059205346	0.049747523	0.045546945	0.045612466	0.05904362	0.057900086	0.04263951	0.054237314	0.06402562	0.072915114	0.050655134	0.06107849	0.058757648	0.064046785	0.057154316	0.06414124	0.04979625	0.0	0.046131838	0.05651599	0.046384208	0.035250697	0.06720221	0.060527742	0.07656972	inf	0.063610286	0.054898895
distribution:nsubj	0.051146347	0.055105947	0.050695173	0.03178634	0.04384543	0.05620224	0.042739507	0.05998858	0.039516684	0.0538341	0.057997726	0.034992147	0.047165085	0.0617312	0.061840653	0.05184523	0.055004112	0.06277414	0.055085324	0.052235052	0.06073049	0.043677386	0.046131838	0.0	0.05255153	0.03470625	0.035058826	0.0617464	0.054766934	0.07639997	inf	0.061105654	0.053862404
distribution:nummod	0.008170706	0.0076375976	0.012114952	0.045544047	0.033004735	0.0071672453	0.024853311	0.06812021	0.022365356	0.008281653	0.018843673	0.031598058	0.008875705	0.008312047	0.020295143	0.041778304	0.013876877	0.009897698	0.008188232	0.008829404	0.010065777	0.01898549	0.05651599	0.05255153	0.0	0.024800213	0.053989112	0.009140752	0.0093988255	0.11991494	inf	0.009606797	0.009498893
distribution:obj	0.023339998	0.024246728	0.022907794	0.03277888	0.032634314	0.025463412	0.025293931	0.063848376	0.021698961	0.02417671	0.03197185	0.026714344	0.020755162	0.03174266	0.036599495	0.03909426	0.02870056	0.03322451	0.029403117	0.02521378	0.033176586	0.023692956	0.046384208	0.03470625	0.024800213	0.0	0.04252646	0.031821124	0.026460947	0.10343897	inf	0.032423876	0.027463807
distribution:obl	0.05058876	0.05636473	0.047961276	0.035069473	0.034222506	0.059073783	0.042407066	0.04781595	0.03810181	0.05446456	0.05366747	0.033676915	0.05109357	0.059256364	0.069067195	0.047623504	0.05742234	0.060435608	0.057023957	0.05570926	0.053111464	0.04417416	0.035250697	0.035058826	0.053989112	0.04252646	0.0	0.06030353	0.057167526	0.07734894	inf	0.06217837	0.053358935
distribution:orphan	0.012836987	0.00791915	0.014948213	0.057547294	0.044512242	0.005652289	0.025528949	0.06937836	0.03164805	0.009063538	0.01220283	0.044429652	0.012649959	0.0022488078	0.008442101	0.051624633	0.009937365	0.0032385096	0.0050502853	0.0116402665	0.0057090973	0.021700416	0.06720221	0.0617464	0.009140752	0.031821124	0.06030353	0.0	0.009404279	0.13446254	inf	0.0018643057	0.011740486
distribution:parataxis	0.0113345515	0.0073341685	0.013983581	0.04958055	0.036979835	0.0093260445	0.025424754	0.07021783	0.027065564	0.010047473	0.014022098	0.033571392	0.011517355	0.007447487	0.014666217	0.04512635	0.009778366	0.0111055	0.0079565495	0.01040636	0.009899169	0.02152118	0.060527742	0.054766934	0.0093988255	0.026460947	0.057167526	0.009404279	0.0	0.124872774	inf	0.008826969	0.012252876
distribution:punct	0.11946616	0.121211365	0.11568369	0.088728264	0.09231854	0.12633088	0.101300366	0.08099671	0.10514612	0.11964866	0.11878633	0.09587126	0.11640049	0.12776378	0.12044116	0.095792554	0.12171038	0.12395808	0.12114491	0.118537635	0.11749212	0.108757325	0.07656972	0.07639997	0.11991494	0.10343897	0.07734894	0.13446254	0.124872774	0.0	inf	0.13401978	0.11993312
distribution:total	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0	inf	inf
distribution:vocative	0.012432239	0.007631789	0.014845032	0.056184996	0.04117283	0.0059004603	0.027854323	0.07085861	0.029407943	0.009275645	0.016850872	0.041691512	0.011705915	0.002701819	0.0118506225	0.04603578	0.009790141	0.0032002416	0.0051920335	0.010295016	0.0054692794	0.023188893	0.063610286	0.061105654	0.009606797	0.032423876	0.06217837	0.0018643057	0.008826969	0.13401978	inf	0.0	0.012597619
distribution:xcomp	0.009261843	0.008493351	0.012635289	0.04763178	0.033808973	0.0110078165	0.024455726	0.06638923	0.022081396	0.00944516	0.019784646	0.03215665	0.010452759	0.0120128635	0.025239581	0.039415985	0.017388012	0.012120465	0.010608386	0.011078837	0.010545131	0.01656568	0.054898895	0.053862404	0.009498893	0.027463807	0.053358935	0.011740486	0.012252876	0.11993312	inf	0.012597619	0.0
