name	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	total
AncientGreek	0.09224	0.06301	0.10093	0.00945	0.04988	0.10497	0.00234	0.18481	0.00448	0.03268	0.07308	0.02124	0.05987	0.01532	0.0	0.18556	0.00014	416988
SwissGerman	0.05886	0.09557	0.09972	0.10526	0.03255	0.09349	0.0	0.12881	0.009	0.02355	0.08172	0.03947	0.12327	0.01801	0.0	0.08864	0.00208	1444
MbyáGuaraní	0.00367	0.07808	0.02445	0.00038	0.00466	0.00183	0.0013	0.11055	0.00863	0.19933	0.09382	0.00833	0.16243	0.09817	0.0	0.20376	0.00061	13089
Hebrew	0.04976	0.16586	0.03926	0.01541	0.03212	0.10794	2e-05	0.23696	0.0205	0.0	0.04573	0.04938	0.11338	0.03422	0.0	0.08844	0.00102	161417
Hindi	0.06029	0.21036	0.0092	0.07403	0.01857	0.02237	1e-05	0.22302	0.01915	0.01951	0.04215	0.11797	0.06857	0.01893	8e-05	0.09537	0.00042	375533
Croatian	0.11944	0.09573	0.0448	0.06299	0.04083	0.03708	6e-05	0.24361	0.01698	0.01038	0.02675	0.06444	0.12119	0.02405	0.0006	0.08722	0.00387	199409
UpperSorbian	0.12692	0.09807	0.04778	0.02581	0.03769	0.02921	0.0	0.22713	0.03412	0.00214	0.03019	0.05323	0.18051	0.01313	0.00286	0.07342	0.01777	11196
Hungarian	0.13188	0.01922	0.07411	0.0049	0.04359	0.1255	0.00031	0.23054	0.02653	0.00255	0.03283	0.06467	0.13816	0.01787	0.0	0.08705	0.00031	42032
Armenian	0.07976	0.03107	0.04357	0.07063	0.04336	0.03673	0.00257	0.25326	0.01357	0.01102	0.03688	0.03428	0.19341	0.01716	0.0007	0.12823	0.00382	52630
Indonesian	0.0415	0.10472	0.04096	0.00893	0.03012	0.03197	0.0	0.22971	0.03492	0.00456	0.04056	0.17096	0.14671	0.0104	0.00321	0.09989	0.00088	141823
Icelandic	0.06197	0.12436	0.06446	0.05172	0.03674	0.00117	0.00011	0.21765	0.02336	0.01853	0.07285	0.07774	0.1037	0.03844	0.0009	0.10609	0.00021	18833
Italian	0.06396	0.14778	0.04036	0.03656	0.02743	0.15256	0.00215	0.19178	0.018	4e-05	0.03869	0.05321	0.11448	0.01005	0.01721	0.08324	0.00251	811522
Japanese	0.02133	0.20375	0.01446	0.11786	0.01164	0.00431	0.00062	0.29091	0.04259	0.00602	0.0092	0.02948	0.08572	0.03377	0.04142	0.08653	0.00038	1509170
Kazakh	0.0784	0.01661	0.02876	0.03958	0.01718	0.02079	0.00218	0.29451	0.0355	0.00313	0.0467	0.05306	0.19894	0.00228	0.00028	0.15063	0.01148	10536
Kurmanji	0.04279	0.15507	0.02417	0.03304	0.03558	0.02173	0.00166	0.25867	0.02125	0.0114	0.08567	0.04308	0.12466	0.01774	0.00029	0.10867	0.01452	10260
Korean	0.03943	0.00736	0.13668	0.03006	0.04411	0.01311	0.00013	0.32578	0.01389	0.00178	0.01962	0.03251	0.11383	0.04131	0.00132	0.17748	0.0016	446996
Komi-Permyak	0.04221	0.0131	0.09753	0.03493	0.04803	0.00582	0.0	0.2067	0.0131	0.00291	0.09607	0.04221	0.22271	0.00873	0.0	0.16594	0.0	687
Komi	0.06258	0.03791	0.08907	0.03246	0.03921	0.00701	0.00104	0.21709	0.0174	0.03012	0.07167	0.01766	0.19735	0.01376	0.0	0.16567	0.0	3851
Karelian	0.06981	0.01551	0.0585	0.04331	0.05107	0.0	0.00097	0.27149	0.01519	0.0	0.09341	0.0585	0.1839	0.0139	0.0	0.1225	0.00194	3094
Latin	0.07486	0.08543	0.07707	0.02871	0.05937	0.02975	0.0007	0.20702	0.00821	0.0008	0.08929	0.03758	0.10725	0.03645	0.0	0.15667	0.00083	824747
Lithuanian	0.06717	0.03347	0.04176	0.01056	0.04498	0.02581	0.00034	0.29683	0.02285	0.02282	0.03545	0.02541	0.18552	0.02081	0.00082	0.1444	0.02098	75403
Latvian	0.05417	0.04395	0.05626	0.02756	0.04137	0.02378	0.00075	0.26683	0.01215	0.01948	0.05563	0.04392	0.17679	0.02195	0.00229	0.14941	0.00374	219955
ClassicalChinese	0.0	0.0212	0.10524	0.01617	0.02103	0.0	0.00024	0.29607	0.01788	0.07285	0.06109	0.03627	0.0	0.0259	0.00079	0.32528	0.0	130714
Moksha	0.05032	0.02396	0.08067	0.03514	0.04553	0.01038	0.0016	0.25958	0.01118	0.00559	0.05431	0.02875	0.20367	0.00559	0.0	0.18371	0.0	1252
Marathi	0.03222	0.07742	0.04936	0.05664	0.01663	0.0291	0.00572	0.21538	0.00883	0.01221	0.09847	0.01429	0.19434	0.00676	0.0	0.18264	0.0	3849
Maltese	0.05238	0.12164	0.04049	0.03827	0.03453	0.08156	0.00147	0.19306	0.01359	0.01071	0.05256	0.03498	0.10708	0.05994	0.00546	0.1446	0.00768	44162
Erzya	0.03722	0.03384	0.08687	0.03531	0.01999	0.01064	0.00652	0.23279	0.00997	0.00695	0.05451	0.035	0.24214	0.00357	0.0	0.18419	0.00049	16255
Dutch	0.06912	0.12673	0.05365	0.0403	0.02341	0.11706	0.00032	0.16881	0.02292	0.0	0.05306	0.09024	0.12163	0.0123	0.00366	0.09285	0.00394	306503
Norwegian	0.0874	0.11704	0.036	0.05516	0.03662	0.04693	0.0053	0.18313	0.01259	0.0222	0.08567	0.04995	0.11994	0.03465	0.00025	0.1014	0.00578	666984
Livvi	0.06189	0.00674	0.06373	0.04289	0.0435	0.0	0.00245	0.26409	0.01287	0.0	0.06311	0.05025	0.21507	0.01225	0.0	0.15686	0.00429	1632
OldEastSlavic	0.1019	0.11038	0.07699	0.0195	0.0944	0.02345	0.00269	0.21293	0.023	0.00406	0.07146	0.06719	0.02511	0.01062	1e-05	0.15437	0.00195	180110
Naija	0.02653	0.05055	0.04408	0.08486	0.01229	0.0381	0.01299	0.1052	0.01013	0.01863	0.12554	0.01673	0.289	0.03598	0.0	0.12579	0.0036	126696
Polish	0.09383	0.10089	0.03541	0.0269	0.02944	0.02594	0.00031	0.23438	0.00754	0.03284	0.05303	0.0351	0.17297	0.0187	0.00024	0.1258	0.00669	499392
Portuguese	0.04901	0.15718	0.03327	0.02228	0.02956	0.15068	6e-05	0.17908	0.02381	0.00132	0.02764	0.09322	0.13065	0.00938	0.00255	0.08907	0.00123	571043
HindiEnglish	0.05236	0.09164	0.04129	0.10316	0.0184	0.03634	0.00364	0.20317	0.01081	0.04456	0.08023	0.04508	0.10487	0.02338	0.01706	0.12375	0.00026	26909
Romanian	0.03915	0.12408	0.05203	0.04814	0.04895	0.04701	0.00136	0.19752	0.01415	0.02183	0.09625	0.02924	0.14104	0.01569	0.00071	0.12256	0.0003	683022
Russian	0.09867	0.09516	0.0483	0.00879	0.03523	0.02449	0.00021	0.24657	0.01677	0.02903	0.04315	0.04029	0.18208	0.01751	0.00132	0.11053	0.00189	1287571
Sanskrit	0.08584	0.00021	0.10836	0.01095	0.02234	0.00811	0.0001	0.32465	0.0107	0.06654	0.14941	0.00325	0.00673	0.00946	0.0	0.19327	7e-05	28960
Slovak	0.08934	0.0807	0.04192	0.03511	0.03184	0.04153	0.00062	0.20427	0.01483	0.01807	0.06068	0.04555	0.1804	0.01759	0.00022	0.13266	0.00468	106043
Slovenian	0.0983	0.08822	0.05584	0.07002	0.04318	0.04171	0.00663	0.19876	0.01422	0.03983	0.04106	0.03202	0.11789	0.0375	0.0	0.10835	0.00646	170158
NorthSami	0.05126	0.0187	0.07823	0.02298	0.03762	0.0	0.00056	0.23911	0.01296	0.0095	0.10605	0.03695	0.15433	0.01989	0.0	0.21185	0.0	26845
SkoltSami	0.00917	0.00734	0.09725	0.05963	0.07339	0.00642	0.01743	0.1633	0.01101	0.00183	0.08807	0.01193	0.20459	0.02294	0.0	0.22569	0.0	1090
Albanian	0.09111	0.09219	0.02928	0.04013	0.04013	0.12581	0.0	0.25922	0.00868	0.03905	0.05748	0.02169	0.09219	0.01193	0.0	0.09111	0.0	922
Serbian	0.11095	0.09598	0.03429	0.06351	0.0341	0.03752	4e-05	0.24385	0.02136	0.00585	0.02484	0.07588	0.12636	0.03609	4e-05	0.08613	0.0032	97673
Swedish	0.07882	0.11392	0.07165	0.04347	0.03784	0.05184	0.00113	0.20788	0.01275	0.02098	0.09104	0.02628	0.10817	0.0213	0.00046	0.11233	0.00013	206855
SwedishSign	0.03416	0.01553	0.07143	0.0	0.00807	0.02422	0.02919	0.22484	0.01925	0.0	0.10994	0.0	0.0	0.0	0.0	0.40248	0.06087	1610
Tamil	0.07118	0.03006	0.03977	0.06555	0.0048	0.01252	0.0	0.28734	0.0263	0.06826	0.02463	0.14299	0.10437	0.0	0.0	0.12212	0.0001	9581
Telugu	0.0099	0.00897	0.03944	0.0	0.00186	0.0249	0.00247	0.22274	0.01423	0.00356	0.17123	0.03929	0.22645	0.00866	0.0	0.2263	0.0	6465
Thai	0.04341	0.1404	0.0426	0.01935	0.02652	0.04659	0.0	0.27112	0.02603	0.0452	0.0306	0.06697	0.01219	4e-05	0.006	0.22296	0.0	22322
Tagalog	0.05256	0.15119	0.04176	0.00072	0.01656	0.05832	0.00216	0.20374	0.0108	0.09719	0.07703	0.0324	0.14327	0.00864	0.0	0.10367	0.0	1389
Turkish	0.08868	0.0362	0.04585	0.02493	0.03123	0.02931	0.00122	0.2872	0.03096	0.0	0.03948	0.05053	0.16638	0.00114	5e-05	0.16543	0.00141	91622
Uyghur	0.05821	0.01556	0.02438	0.02764	0.01258	0.01014	0.00288	0.35421	0.02475	0.00301	0.06691	0.00164	0.19309	0.00154	0.0	0.20183	0.00164	40236
Ukrainian	0.09835	0.09014	0.05289	0.00864	0.03917	0.03808	0.00101	0.24004	0.01342	0.02886	0.04133	0.0287	0.18934	0.01908	0.00088	0.10518	0.00488	122091
Urdu	0.07329	0.20397	0.01004	0.07234	0.02352	0.01808	1e-05	0.23877	0.01782	0.02202	0.04053	0.12411	0.05007	0.01936	0.0	0.08591	0.00016	138077
Vietnamese	0.05839	0.05812	0.0	0.00942	0.02795	0.01579	0.00046	0.31885	0.02971	0.0061	0.0	0.04198	0.14451	0.01156	0.0	0.19614	0.081	43754
Warlpiri	0.02548	0.00318	0.0	0.14968	0.0	0.0	0.0	0.34076	0.0	0.0	0.07962	0.00318	0.17834	0.0	0.0	0.21975	0.0	314
Wolof	0.00027	0.06959	0.03215	0.08835	0.03084	0.07129	0.00145	0.16119	0.01218	0.01534	0.14016	0.05843	0.12018	0.01963	5e-05	0.17891	0.0	44258
Yoruba	0.02402	0.08407	0.03979	0.04865	0.04222	0.03336	0.00012	0.18391	0.0091	0.02305	0.16511	0.02002	0.13514	0.04222	0.00012	0.148	0.00109	8243
Cantonese	0.0268	0.01574	0.11338	0.04045	0.00884	0.02371	0.01552	0.15002	0.01667	0.11029	0.085	0.012	0.19608	0.00812	0.0	0.1774	0.0	13918
Chinese	0.02586	0.04623	0.05153	0.02402	0.01387	0.0117	0.00013	0.26873	0.0509	0.10421	0.02068	0.08122	0.13927	0.00058	0.00018	0.15285	0.00805	285127
