name	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	compound	conj	conj:emb	det	discourse	dislocated	fixed	flat	goeswith	list	mod	orphan	parataxis	punct	reparandum	subj	udep	unk	vocative	xcomp	total
French	3.27948	2.27859	0	2.00377	1.3105	6.30864	2.06435	2.1471	2.00932	1.22059	6.49909	6.33053	1.14586	2.9004	4.30654	0	1.02757	1.02632	0	2.97258	4.01769	13.81324	9.75473	2.78612	3.30075	2.93958	1.09822	8.46199	2.41852	2.9922404644237144
OldFrench	2.52778	2.97093	0	1.86652	1.62749	0	1.93528	1.63906	1.73722	1.0	3.78403	4.75862	1.10807	5.62143	5.58268	0	1.18909	0	0	2.55658	0	4.54507	0	0	2.05548	2.40095	1.58912	4.28078	3.75758	2.0969017182629153
Irish	4.05323	1.48045	0	2.08409	0	0	1.71709	3.38529	3.64994	1.15	6.19717	5.47059	1.06863	4.57143	11.35294	0	1.3262	1.0	9.83784	2.76593	5.2	18.29231	8.98197	0	1.87635	3.46731	1.00211	5.45283	12.66667	3.0287436170742024
Gaelic	4.49451	1.72987	0	2.00608	0	0	1.65482	3.01569	3.04301	1.16949	8.00497	6.29091	1.08795	2.52062	4.10714	0	1.4481	0	0	2.031	0	9.50839	9.44771	3.15789	1.54973	3.17058	1.02869	4.81667	4.65217	2.745625379444575
Galician	4.87654	5.02605	0	2.67104	2.19582	0	2.50295	5.43497	2.42053	1.17391	6.25552	5.85	1.19222	5.33333	0	0	3.35902	0	5.25	2.1215	3.0	11.75806	10.2271	0	4.09927	2.55661	3.25085	8.0	2.29333	3.121606961216311
Gothic	3.11367	3.28085	0	1.63404	0	0	1.64414	1.67964	1.52881	0	4.37746	3.61983	1.2258	3.04228	6.13889	0	1.08333	0	0	2.2937	2.19298	7.93902	0	0	2.28466	2.31391	1.07207	3.08393	1.0	2.159133179423565
AncientGreek	3.893	3.38046	0	2.20187	2.86957	0	2.1779	2.19236	2.36054	0	5.19218	3.91979	1.38577	4.13794	7.5495	0	1.33451	0	0	3.13771	3.0	8.2905	6.50727	0	3.26539	2.87585	1.2093	3.93364	6.2	2.9136651841104753
SwissGerman	2.4	2.65714	0	2.78589	3.90566	0	2.35385	2.66667	2.63636	2.71429	5.4878	0	1.29268	0	0	0	1.0	0	0	2.00379	0	7.66667	7.11236	0	2.40351	2.60584	1.7	0	1.66667	3.010827310541311
MbyáGuaraní	2.17241	4.05085	0	1.38976	2.5	0	1.38862	0	1.66667	1.62783	4.66142	2.0	1.13514	3.23077	4.72	0	1.16667	1.0	6.0	2.68209	0	5.25373	3.6698	2.2	2.16104	3.73443	1.83867	3.375	0	2.356918568501571
Hebrew	4.80351	2.36395	0	1.71851	2.75661	0	1.68844	6.28571	1.95732	1.51029	6.86414	7.03067	1.06853	1.0	8.25	0	1.10614	2.0	0	2.29335	0	9.25	9.99018	0	3.58385	2.92682	4.18035	0	10.0	2.9210248207199947
Hindi	3.05405	5.43307	0	1.95648	1.15879	0	2.07971	4.93315	1.41144	1.33415	5.79147	5.28767	1.23239	1.49701	4.60632	0	1.07805	0	5.0	2.59567	0	10.21505	6.5831	0	6.29577	4.87154	1.49897	3.28571	4.33333	2.8515653408530626
Croatian	2.34129	1.97024	0	1.86541	2.04349	0	1.71429	2.69438	2.56528	1.30229	5.38642	5.39227	1.35652	2.60375	6.85714	0	1.14324	0	5.29167	1.82138	4.0069	10.20907	8.07176	0	2.8051	2.83634	1.60229	3.73913	3.0	2.8338068313976503
UpperSorbian	3.95597	1.95749	0	2.57763	6.83673	0	2.28408	2.33333	3.21739	2.01887	4.70044	5.0	1.53165	1.0	0	0	2.30216	0	6.18182	2.03161	2.33333	6.13559	5.49678	0	3.27703	3.53774	1.91935	0	3.5	3.148944054958185
Hungarian	4.32056	3.56775	0	3.25356	1.09677	0	3.31907	3.60473	1.53216	1.1296	7.02838	6.97436	1.74439	3.0	8.0	0	1.0321	1.0	5.0	2.49282	6.54217	7.74302	7.39731	0	4.14425	4.38883	12.0	3.0	1.0	3.5557092657061036
Armenian	4.17228	3.27319	0	2.07914	1.09694	0	2.71716	2.7807	1.2854	1.49804	5.776	4.46154	1.3511	3.91169	6.36364	0	1.37476	2.98529	2.77778	2.18904	2.80198	8.65665	5.85794	0	3.40366	3.36407	1.242	6.25714	3.81818	3.24583983828882
Indonesian	3.7658	1.7367	1.33065	1.60568	1.51073	0	1.49654	3.91003	1.55605	1.37768	4.6988	3.85119	1.38154	3.2	5.88889	0	1.22838	1.82692	0	2.27564	0	12.07692	6.65739	0	2.82832	3.02188	8.5511	8.0	2.41667	2.750052009639952
Icelandic	2.56122	1.67456	0	1.68741	1.654	0	1.62727	1.89698	1.9429	1.51724	5.05898	4.41667	1.20755	0	7.5	0	1.02367	0	0	1.68934	0	11.36471	8.45264	0	1.9474	2.45385	1.00483	11.0	3.57143	2.464070445648002
Italian	4.69461	2.14561	0	1.85797	1.15048	0	1.9543	2.00189	1.69858	1.09973	5.65895	4.7216	1.15938	5.2598	4.20122	0	1.09967	1.08333	11.52381	2.3648	2.18657	9.92049	8.29277	0	3.53713	2.65511	3.07439	5.77959	1.75385	2.8475563825075043
Japanese	4.0	7.5357	0	1.30699	1.31439	0	1.26508	2.18301	1.4297	2.15481	0	0	1.33605	3.60563	18.04312	0	0	0	0	4.95115	0	0	2.23389	2.29412	8.35935	3.97571	4.11103	0	0	2.428526890867118
Kazakh	3.16279	3.56281	1.33333	1.47809	1.00862	0	1.71394	2.2	1.04	1.46094	3.6601	9.0	1.22477	2.24074	0	0	1.08889	0	0	2.10408	3.53846	7.2125	2.10305	0	3.79448	3.89303	1.01667	4.2	2.2	2.360087721672578
Kurmanji	2.83333	3.07692	0	2.38095	1.51701	0	2.4226	3.0	2.50362	1.50781	4.61538	4.64286	1.06604	5.46429	9.5	0	1.28571	0	0	2.02269	4.5	6.43056	5.09695	0	4.5983	4.88523	1.10853	0	0	3.0561680410755527
Korean	3.43001	9.33291	1.0	2.13901	1.03064	0	2.07502	5.10215	3.22995	1.41475	3.02619	2.50442	1.35915	4.33333	6.41276	0	1.5506	1.04444	0	2.50819	1.75	0	1.22297	0	3.27755	2.39263	1.74503	6.9375	7.25	2.455970561037497
Komi-Permyak	3.5	2.375	0	1.62791	1.2	0	1.73333	3.5	1.25	0	4.76744	0	1.33333	0	4.0	0	1.0	0	3.5	1.82069	2.25	7.0	3.9085	0	1.63889	1.92157	1.0	2.66667	0	2.4572658974358976
Komi	4.05263	2.4069	0	1.73868	1.33735	0	1.80266	1.0	1.87179	1.0	4.52459	3.42857	1.26866	3.5	5.0	0	1.0	1.0	4.4	1.9297	1.6	4.70588	4.06974	3.0	2.19	2.31649	1.0	2.83333	1.33333	2.4823031366764994
Karelian	2.26316	1.07051	0	2.05567	1.23729	0	2.19565	2.0	2.0	1.5625	4.5947	4.55	1.18919	5.75	0	0	1.56818	1.0	0	1.57143	1.5	5.38095	4.51845	0	1.6625	2.86866	1.0	3.0	0	2.602491735390092
Latin	2.07106	3.14934	0	2.24244	1.18854	0	2.29963	2.71189	1.68363	1.14103	5.12344	4.39569	1.2689	3.34734	14.55844	0	1.41074	0	0	3.04258	2.5884	9.91273	6.79505	12.70213	3.26144	4.1344	1.1452	3.47941	1.79121	3.1709504005172726
Lithuanian	3.86667	2.3704	0	2.44257	1.42857	0	2.62299	2.24634	1.75505	1.44444	5.05678	4.31579	1.4916	3.625	12.0	0	2.79263	0	2.0	2.17447	6.9	7.80645	5.69741	0	3.11003	2.89964	1.92105	1.5	2.5	3.1599095485012096
Latvian	4.12963	2.32134	0	2.06857	1.15299	0	2.17722	2.10635	1.81613	1.06116	5.17243	4.35744	1.37436	2.42383	6.33333	0	1.04914	1.0	0	2.01883	3.0	8.61293	5.61872	4.14286	2.15968	2.4086	1.8091	3.57317	3.92233	2.8328529065211714
ClassicalChinese	0	1.45642	1.00655	1.49863	1.42044	0	1.50606	1.1688	1.61478	1.00299	2.0921	1.68	1.10818	2.08776	3.32121	0	1.01847	0	1.83636	1.49512	1.0	2.33579	0	0	1.78915	1.53574	1.15501	2.63333	2.8299	1.5802578679343282
Moksha	2.66667	2.0	0	1.54011	1.22857	0	1.54762	2.125	1.83333	1.0	4.51899	2.71429	1.25	4.66667	0	0	1.0	0	0	1.64069	2.0	6.0	4.13333	0	1.69173	1.75	2.0	3.0	0	2.3254207350689127
Marathi	2.33333	3.70769	0	1.36427	1.08163	0	1.38372	2.18919	1.35526	1.08333	4.90526	0	1.36283	1.7193	2.375	0	1.5	1.0	0	2.17588	2.0	5.74667	1.81526	0	2.70994	1.75676	1.25	3.62069	2.0	1.9177856183745585
Maltese	4.29586	2.23969	0	1.64052	1.08982	0	1.72246	1.81958	1.3992	1.74884	6.10499	6.55172	1.17878	1.89103	7.5	0	1.34019	1.0	5.44118	2.28228	1.5	10.66486	9.85748	2.0	2.72735	2.36736	1.02451	4.42857	1.32182	2.715185040374531
Erzya	3.9901	1.94479	0	1.65653	1.13288	0	1.7621	2.34211	1.8547	1.15455	4.64995	5.4	1.23019	2.5	2.0	0	1.8125	0	0	1.85762	2.0	5.60355	3.88211	2.0	1.9908	2.02733	1.28125	3.92424	3.64706	2.51790820384638
Dutch	2.1967	2.05327	0	2.78606	3.70985	0	2.60569	3.89	2.53804	3.62948	5.09625	3.78761	1.39137	0	0	0	1.50246	0	0	2.5502	3.43651	6.3205	7.37393	0	3.03698	2.89792	1.196	0	2.33333	3.1356578519786047
Norwegian	4.41019	1.99671	0	1.82292	1.66594	0	1.78625	1.56986	2.1899	1.64706	5.41207	5.59171	1.58628	2.82548	0	0	1.01779	0	0	1.98648	1.38902	11.21853	7.65105	3.40553	1.85674	2.32422	1.10502	0	3.00193	2.6205646141087695
Livvi	3.125	1.08451	0	1.75556	1.11429	0	1.91558	4.0	1.55882	1.2	3.78814	4.5	1.0	2.0	0	0	1.0	2.0	0	1.71779	1.13333	5.34043	3.63248	0	1.65753	2.14935	1.0	3.0	2.0	2.357143168202765
OldEastSlavic	2.03486	2.87875	0	1.6907	1.83463	0	1.61697	2.13178	1.80442	1.32075	4.56342	6.31985	1.30681	3.19504	7.75697	0	1.12691	1.0	0	2.24199	2.74524	5.44516	7.26891	0	2.45243	3.00814	1.11157	4.83896	3.53846	2.4016676721509493
Naija	4.26257	4.59075	0	1.9665	1.27825	4.29849	2.0922	2.05979	2.05853	1.63014	4.94463	4.5	1.36936	5.02635	8.13542	0	1.2922	1.0	0	3.27498	0	6.27168	5.66331	0	1.36918	1.54443	2.00049	5.0	1.36983	3.161098445513139
Polish	2.15321	2.05572	0	1.72204	1.1909	0	1.72297	1.91343	1.91811	0	4.93001	5.06737	1.21487	3.16892	0	0	1.19001	0	7.06985	1.76946	3.34524	5.9644	5.20274	0	2.4498	2.41052	1.11236	3.54043	5.6	2.470870365420513
Portuguese	3.61816	2.10328	0	1.98114	1.20993	0	2.02973	2.34043	1.88999	1.34783	5.90547	4.74048	1.14998	6.45283	5.55556	0	1.18057	1.0	4.33333	2.64028	4.1875	10.41713	7.61037	3.0	3.37281	2.72223	1.24285	5.875	1.55782	2.8290837849081085
HindiEnglish	2.08333	3.36917	0	1.81297	1.21155	0	2.02988	2.56338	1.85911	1.23602	5.53457	4.0	1.56909	7.25599	0	0	1.04891	0	0	2.45039	2.55556	8.18667	6.35835	0	2.76187	2.66038	1.34286	4.375	4.44397	2.6298366438377014
Romanian	3.94697	2.74826	6.0	1.55054	1.07272	0	1.57786	1.88954	1.85524	1.25258	5.96012	6.6991	1.09705	3.79608	0	0	1.14775	1.24272	4.0	2.5768	2.35616	7.62234	7.1519	6.0	2.80298	2.71381	1.04689	4.43562	4.9494	2.751111480626456
Russian	2.39762	2.6474	0	1.8717	1.33128	0	1.88148	1.99826	1.8785	1.7422	5.196	4.34647	1.39134	3.93559	4.38462	0	1.16335	1.22857	7.01389	1.85014	3.0405	6.20088	5.59226	8.0	2.72118	2.60027	1.05096	3.38413	3.5787	2.8353739845183195
Sanskrit	1.57031	1.30344	0	2.20297	1.52381	0	2.18606	2.89879	1.73276	1.26829	2.35587	1.85507	1.7472	2.20329	4.0	0	1.3557	0	0	2.37569	1.49593	5.09346	3.05641	0	2.33486	2.33111	1.0	2.53034	4.0	2.2653986172085148
Slovak	3.58983	1.9555	0	1.80838	1.45021	0	1.8312	1.78669	2.07436	2.4	4.46163	3.41176	1.26354	1.71739	0	0	1.25253	0	0	1.68239	2.96875	7.55385	4.69373	0	2.14959	2.26561	1.76295	3.29412	3.71429	2.3864152322722143
Slovenian	2.85833	2.05023	0	1.99462	2.26518	0	1.85689	2.64861	2.43449	0	4.37442	4.71429	1.31087	3.50567	4.75439	0	1.07282	1.16667	0	1.81073	2.12195	9.17445	6.75212	3.02651	2.7993	2.68197	1.72598	2.5	2.53125	2.70186769130471
NorthSami	2.25	2.46989	0	1.68793	1.56935	0	1.72329	0	1.76741	2.28571	3.41466	2.35484	1.12785	1.32963	0	0	1.05426	0	0	1.75361	0	6.91667	5.57519	0	1.49567	2.72208	0	2.9375	9.0	2.4703063805241876
SkoltSami	2.0	2.10127	0	1.61026	1.25	0	1.77869	3.0	1.39286	0	3.6338	4.3	1.33333	3.0	3.0	0	1.5	1.0	0	1.90441	1.28571	6.0	5.0583	3.0	1.46296	1.8	1.0	3.25	3.0	2.625518765534383
Albanian	4.0	1.30556	0	1.32683	1.0	0	1.30769	1.0	1.63333	1.0	3.52381	0	1.05072	0	0	0	1.25	0	0	2.40107	1.0	0	8.03529	0	2.65714	2.85542	1.0	0	0	2.304591030927835
Serbian	3.26547	1.66667	0	1.7586	1.82094	0	1.62413	3.7957	2.50517	3.33333	4.94507	4.0	1.30607	4.01237	0	0	1.37556	0	5.72727	1.76387	2.95349	10.82502	7.85861	0	2.81158	2.80773	1.48828	3.0	2.0	2.7640644720565404
Swedish	5.09853	1.94964	0	1.97755	1.79415	0	1.96267	1.89644	2.30917	1.35188	5.05535	4.74537	1.63178	3.99206	5.04521	0	1.04967	0	2.2	1.95594	2.41176	12.16826	8.71393	12.25	1.86809	2.51596	1.06782	4.69565	5.60714	2.7643287395304306
SwedishSign	2.33333	1.85714	1.18519	1.57377	1.2	0	1.61364	2.09091	1.46667	1.53684	2.11268	2.0	1.6875	3.63043	0	0	1.5	0	0	2.05978	1.0	0	0	1.5625	1.43269	1.80165	2.3125	1.0	2.57143	1.8483386767371601
Tamil	0	1.4466	0	1.83625	1.05158	0	1.94804	4.14634	4.0	1.07143	4.0	2.66667	1.08772	0	0	0	0	0	0	2.22245	0	1.2	3.331	0	3.49408	4.22071	1.0	0	1.0	2.4519605855568707
Telugu	1.0	1.64286	2.0	1.54608	0	0	1.48143	2.35185	0	1.03046	2.0	0	1.05806	1.51724	3.0	0	1.09091	0	3.0	1.43462	1.66667	3.5	1.12551	0	2.04514	1.68981	1.0	1.30769	2.16667	1.5196085214870396
Thai	1.59669	2.65258	2.89879	1.57	1.77559	0	1.48255	2.38636	1.40126	1.46317	5.64653	4.0	1.6247	5.31034	2.5	0	1.20316	1.0	0	2.50456	0	10.2	4.09191	4.0	3.03103	3.02801	1.0	4.0	1.84615	2.0850715117569165
Tagalog	0	1.54545	0	1.60142	0	0	1.59375	2.75	1.25	1.66667	3.52381	0	1.07595	1.5	0	0	1.16667	0	0	1.59067	0	5.18182	5.74874	0	2.28767	2.06316	1.07143	3.0	0	2.2013225781249997
Turkish	2.29703	3.34752	1.9	1.69022	1.14403	0	1.78757	3.03256	1.15143	1.22044	4.74186	5.26984	1.22201	3.11448	9.22222	0	1.49095	1.0	0	2.13432	3.57143	5.5875	2.36414	0	4.50299	3.04048	1.02759	5.33333	1.45098	2.382445527694768
Uyghur	2.648	5.37778	0	1.80814	1.08313	0	2.07526	4.61905	1.17941	1.18674	3.90443	2.18182	1.26768	6.19124	5.15385	0	1.5	2.0	0	2.46997	4.25	8.14074	1.7949	4.0	4.73765	3.01813	2.24757	4.64151	1.0	2.509537326647359
Ukrainian	3.76118	2.4389	0	1.8596	1.42688	0	1.86418	2.04494	1.81481	2.04398	5.16759	4.52521	1.31848	2.58167	4.68421	0	1.88026	1.0	5.0	1.9976	3.61328	9.24163	5.2291	8.0	2.68723	2.74516	1.39152	4.2451	3.75	2.859605839709911
Urdu	0	6.45232	0	2.02697	1.02198	0	2.20212	5.25541	1.46658	1.42914	7.22548	4.91667	1.16057	0	3.51453	0	0	0	0	2.90412	0	0	4.91158	0	7.41745	5.06631	2.12851	7.26667	2.0	2.8982344387771923
Vietnamese	3.53571	3.06017	0	2.00021	1.70068	0	1.92885	3.51025	1.97317	1.24117	4.00259	3.45455	1.25874	2.19608	0	0	0	0	5.0	1.74719	0	8.0574	6.29364	0	2.62301	2.91606	2.08242	7.0	1.34658	2.6352862838092594
Warlpiri	0	0	0	1.66364	1.89362	0	1.4	2.125	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	3.48214	0	1.24138	1.53333	0	0	0	1.951220514905149
Wolof	4.08389	2.22824	0	1.67706	1.33232	0	1.79073	2.52652	1.45792	1.14876	4.88332	4.04545	1.20331	5.70213	5.69362	0	1.37724	0	0	2.72835	1.53846	9.1432	7.23256	0	1.85621	2.73595	1.0	0	2.16279	2.6226922881583907
Yoruba	5.0	1.63429	0	1.86333	1.33143	0	1.89308	4.98182	1.19298	2.10577	5.64051	5.54054	1.13187	3.0	0	0	1.90909	1.0	0	2.21632	1.0	12.29688	7.36715	0	2.1164	2.3943	1.11905	3.22222	3.30435	2.7613970248014894
Cantonese	3.10638	2.39241	1.06132	2.63792	1.62559	0	2.82125	3.28261	2.84685	1.56675	4.26825	2.67273	1.8809	3.64655	5.26667	0	1.03704	0	0	2.84373	0	10.45455	4.4192	5.37805	2.39256	4.27451	0	5.82812	3.51613	3.2041690372033353
Chinese	2.852	2.22664	2.49735	3.20349	2.02355	0	2.96107	9.06742	5.01345	1.12588	3.58744	2.75155	1.55594	3.78587	4.24	0	1.19596	0	0	2.75922	2.5	14.34363	7.24639	2.07692	4.06778	4.73267	11.98544	5.46154	2.71997	3.704227853336256
