name	appos	cc	clf	comp	comp:aff	comp:arg	comp:aux	comp:ben	comp:cleft	comp:goal	comp:loc	comp:m	comp:obj	comp:obj$attitude	comp:obj$concess	comp:obj$desire	comp:obj$know	comp:obj$percep	comp:obj$phase	comp:obj$utter	comp:obl	comp:obl$attitude	comp:obl$cause	comp:obl$desire	comp:obl$know	comp:obl$modal	comp:obl$percep	comp:obl$phase	comp:obl$request	comp:obl$utter	comp:pred	comp:pred$attitude	comp:pred$manner	comp:source	compound	compound:prt	compound:redup	compound:svc	compound:svc$phase	compound:svc$purp	compound:svc$tempo	conj	conj:appos	conj:coord	conj:dicto	conj:m	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	flat:m	flat:name	flat:num	goeswith	list	mod	mod$concess	mod$cond	mod$manner	mod$purp	mod$reason	mod$tempa	mod$tempb	mod$tempo	mod:appos	mod:aux	mod:emph	mod:m	mod:num	mod:obj	mod:periph	mod:periph$concess	mod:periph$cond	mod:periph$manner	mod:periph$purp	mod:periph$reason	mod:periph$tempa	mod:periph$tempb	mod:periph$tempo	mod:poss	mod:pred	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:discourse	parataxis:dislocated	parataxis:dislocated$tempa	parataxis:dislocated$tempo	parataxis:insert	parataxis:mod	parataxis:mod$cond	parataxis:obj	parataxis:obj$cause	parataxis:obj$know	parataxis:obj$request	parataxis:obj$utter	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:aff	udep	unk	unk:aff	vocative	total
Karo	0.00231	nan	0.0707	0.23983	nan	nan	0.061	nan	nan	nan	nan	nan	0.1622	nan	nan	nan	nan	nan	nan	nan	0.00601	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01063	nan	nan	nan	0.02033	nan	nan	nan	nan	nan	nan	0.00323	nan	nan	nan	nan	nan	nan	0.00277	nan	0.02819	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.18068	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00277	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00139	nan	0.13678	nan	0.03789	0.03327	nan	nan	2164
Belarusian	0.01814	0.02713	nan	0.16	nan	nan	0.00331	nan	nan	nan	nan	nan	0.14209	nan	nan	nan	nan	nan	nan	nan	0.00935	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00526	nan	nan	nan	0.00173	nan	nan	nan	nan	nan	nan	0.04087	nan	nan	nan	nan	nan	nan	0.01725	nan	0.00096	4e-05	nan	nan	0.01879	nan	nan	nan	nan	1e-05	0.00542	0.18553	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00077	0.02046	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.17106	2e-05	0.06256	nan	0.08677	0.022	nan	0.0005	333178
Beja	nan	0.01559	nan	0.18392	0.05112	nan	0.00436	nan	nan	nan	nan	nan	0.09601	nan	nan	nan	nan	nan	nan	nan	0.0212	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01122	nan	nan	nan	0.00249	nan	nan	0.00187	nan	nan	nan	0.01808	0.00062	0.0106	0.00436	nan	nan	0.00249	0.07731	0.00062	0.01434	0.00374	0.00249	0.00062	nan	nan	nan	nan	nan	nan	nan	0.07294	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00062	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00998	nan	nan	0.02993	nan	0.00125	nan	nan	nan	nan	nan	0.00062	nan	0.02681	nan	nan	nan	nan	0.00062	nan	0.10661	nan	0.12157	0.09726	nan	0.00374	0.00374	0.00125	1604
Bulgarian	0.00018	0.02557	nan	0.25516	nan	nan	0.03272	nan	nan	nan	nan	nan	0.17239	nan	nan	nan	nan	nan	nan	nan	0.01994	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01285	nan	nan	nan	1e-05	nan	nan	nan	nan	nan	nan	0.02927	nan	nan	nan	nan	nan	nan	0.01819	nan	0.00363	nan	nan	nan	0.00891	nan	nan	nan	nan	nan	nan	0.14136	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00231	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11593	nan	0.06281	nan	0.09401	0.00444	nan	0.0003	190279
Bhojpuri	0.00013	0.00341	0.00038	0.20263	nan	nan	0.03944	nan	nan	nan	nan	nan	0.15308	nan	nan	nan	nan	nan	nan	nan	0.00733	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00278	nan	nan	nan	0.2044	nan	nan	nan	nan	nan	nan	0.01416	nan	nan	nan	nan	nan	nan	0.02199	nan	0.00101	nan	nan	nan	0.00013	nan	nan	nan	nan	0.00013	0.00126	0.10568	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08785	nan	0.03666	nan	0.11301	0.00455	nan	nan	7911
Bambara	0.00123	0.00381	nan	0.25032	nan	nan	0.0809	nan	nan	nan	nan	nan	0.15419	nan	nan	nan	nan	nan	nan	nan	0.01494	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00029	nan	nan	nan	0.00451	nan	nan	nan	nan	nan	nan	0.00375	nan	nan	nan	nan	nan	nan	0.0297	nan	0.04558	0.00281	nan	nan	0.00439	nan	nan	nan	nan	nan	nan	0.05026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00082	0.04429	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11412	0.00029	0.10861	nan	0.07633	0.0024	nan	0.00644	17070
Bengali	nan	nan	nan	0.15113	nan	nan	0.01929	nan	nan	nan	nan	nan	0.11254	nan	nan	nan	nan	nan	nan	nan	0.00965	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00965	nan	nan	nan	0.06109	nan	nan	nan	nan	nan	nan	0.01286	nan	nan	nan	nan	nan	nan	0.03859	nan	0.01929	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.18006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00643	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.23473	nan	0.11254	nan	0.02251	0.00322	nan	0.00643	311
Breton	0.0032	0.01691	nan	0.24737	nan	nan	0.0913	nan	nan	nan	nan	nan	0.1303	nan	nan	nan	nan	nan	nan	nan	0.0069	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01872	nan	nan	nan	0.00156	nan	nan	nan	nan	nan	nan	0.01946	nan	nan	nan	nan	nan	nan	0.0991	nan	0.00016	0.00025	nan	nan	0.00205	nan	nan	nan	nan	nan	0.00016	0.13136	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00016	0.00304	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09466	nan	0.04729	nan	0.06749	0.01839	nan	0.00016	12180
Buryat	0.00601	0.00765	nan	0.10299	nan	nan	0.01337	nan	nan	nan	nan	nan	0.07703	nan	nan	nan	nan	nan	nan	nan	0.00572	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00688	nan	nan	nan	0.03401	nan	nan	nan	nan	nan	nan	0.02742	nan	nan	nan	nan	nan	nan	0.02219	nan	0.03943	nan	nan	nan	0.02694	nan	nan	nan	nan	nan	0.00126	0.33117	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00039	0.02674	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.17905	nan	0.07228	nan	0.0155	0.00339	nan	0.00058	10321
Catalan	0.0111	0.02125	nan	0.23429	nan	nan	0.02422	nan	nan	nan	nan	nan	0.19614	nan	nan	nan	nan	nan	nan	nan	0.00604	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00713	nan	nan	nan	0.00479	nan	nan	nan	nan	nan	nan	0.0239	nan	nan	nan	nan	nan	nan	0.12555	nan	0.0	nan	nan	nan	0.02606	nan	nan	nan	nan	nan	nan	0.08935	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00083	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08282	nan	0.04129	nan	0.09078	0.01444	nan	0.0	691472
Cebuano	0.00134	0.00602	nan	0.25953	nan	nan	nan	nan	nan	nan	nan	nan	0.25686	nan	nan	nan	nan	nan	nan	nan	0.00268	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00401	nan	nan	nan	nan	nan	nan	0.00334	nan	nan	nan	nan	nan	nan	0.00736	nan	0.00201	nan	nan	nan	0.00067	nan	nan	nan	nan	nan	nan	0.13512	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00401	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.13779	nan	0.10435	nan	0.06622	0.00803	nan	0.00067	1495
Chukot	0.00929	0.02242	nan	0.06689	nan	nan	0.00857	nan	nan	nan	nan	nan	0.04666	nan	nan	nan	nan	nan	nan	nan	0.00073	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01093	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01549	nan	nan	nan	nan	nan	nan	0.00711	nan	0.05467	0.00292	nan	nan	0.0082	nan	nan	nan	nan	nan	nan	0.29761	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00182	0.06816	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.18298	0.05376	0.07454	nan	0.05486	0.00583	nan	0.00656	5487
Coptic	0.00554	0.02173	nan	0.27086	nan	nan	0.04636	nan	nan	nan	nan	nan	0.20509	nan	nan	nan	nan	nan	nan	nan	0.01245	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00697	nan	nan	nan	0.00038	nan	nan	nan	nan	nan	nan	0.01687	nan	nan	nan	nan	nan	nan	0.09317	nan	0.00102	0.01172	nan	nan	0.00068	nan	nan	nan	nan	nan	nan	0.07976	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00029	0.00914	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04772	0.00018	0.07538	nan	0.08803	0.00436	nan	0.00232	73642
Czech	0.00411	0.0335	nan	0.20352	nan	nan	0.01229	nan	nan	nan	nan	nan	0.14231	nan	nan	nan	nan	nan	nan	nan	0.02048	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01455	nan	nan	nan	0.00112	nan	nan	nan	nan	nan	nan	0.04255	nan	nan	nan	nan	nan	nan	0.01868	nan	0.00031	nan	nan	nan	0.01017	nan	nan	nan	nan	nan	nan	0.2286	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00248	0.00107	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12381	nan	0.05565	nan	0.07472	0.00993	nan	0.00016	2586116
OldChurchSlavonic	0.00654	0.07244	nan	0.25541	nan	nan	0.00295	nan	nan	nan	nan	nan	0.16697	nan	nan	nan	nan	nan	nan	nan	0.03901	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02834	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05034	nan	nan	nan	nan	nan	nan	0.02027	nan	0.0303	0.00204	nan	nan	0.00046	nan	nan	nan	nan	nan	nan	0.1645	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00299	0.00107	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07755	nan	0.06557	0.00426	nan	0.00899	67160
Welsh	0.00407	0.02275	nan	0.2553	nan	nan	0.02977	nan	nan	nan	nan	nan	0.16593	nan	nan	nan	nan	nan	nan	nan	0.01024	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04936	nan	nan	nan	0.00215	nan	nan	nan	nan	nan	nan	0.02771	nan	nan	nan	nan	nan	nan	0.05168	nan	8e-05	nan	nan	nan	0.00831	nan	nan	nan	nan	nan	nan	0.16536	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3e-05	0.00126	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07265	nan	0.04307	nan	0.08552	0.00474	nan	2e-05	61846
Danish	0.00297	0.02618	nan	0.21544	nan	nan	0.0261	nan	nan	nan	nan	nan	0.16567	nan	nan	nan	nan	nan	nan	nan	0.0032	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01692	nan	nan	nan	0.00328	nan	nan	nan	nan	nan	nan	0.02924	nan	nan	nan	nan	nan	nan	0.04532	nan	0.00026	2e-05	nan	nan	0.01361	nan	nan	nan	nan	nan	0.00165	0.16527	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00012	6e-05	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11532	2e-05	0.0751	nan	0.0858	0.00819	nan	0.00026	120822
German	0.01193	0.01947	nan	0.19254	nan	nan	0.02837	nan	nan	nan	nan	nan	0.14657	nan	nan	nan	nan	nan	nan	nan	0.00597	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00871	nan	nan	nan	0.00543	nan	nan	nan	nan	nan	nan	0.02467	nan	nan	nan	nan	nan	nan	0.11803	nan	1e-05	nan	nan	nan	0.0229	nan	nan	nan	nan	0.0	nan	0.15668	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2e-05	0.00386	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09966	1e-05	0.06391	nan	0.09033	0.00091	nan	0.0	4444416
Greek	0.00355	0.02728	nan	0.18001	nan	nan	0.03258	nan	nan	nan	nan	nan	0.13312	nan	nan	nan	nan	nan	nan	nan	0.00311	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01096	nan	nan	nan	0.0003	nan	nan	nan	nan	nan	nan	0.02872	nan	nan	nan	nan	nan	nan	0.16331	nan	9e-05	nan	nan	nan	0.00894	nan	nan	nan	nan	nan	nan	0.19666	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00055	0.00152	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08508	nan	0.05103	nan	0.07096	0.00124	nan	0.001	74272
Emerillon	0.00642	0.00367	nan	0.15949	nan	nan	nan	nan	nan	nan	nan	nan	0.10174	nan	nan	nan	nan	nan	nan	nan	0.00642	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05133	nan	nan	nan	0.00092	nan	nan	nan	nan	nan	nan	0.0165	nan	nan	nan	nan	nan	nan	0.04491	nan	0.022	0.00458	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.18882	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03666	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09258	nan	0.10907	nan	0.12649	0.0275	nan	0.00092	1091
English	0.00452	0.02595	nan	0.22271	nan	nan	0.02939	nan	nan	nan	nan	nan	0.15884	nan	nan	nan	nan	nan	nan	nan	0.01173	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02071	nan	nan	nan	0.02657	nan	nan	nan	nan	nan	nan	0.02909	nan	nan	nan	nan	nan	nan	0.06774	nan	0.00277	0.00027	nan	nan	0.00922	nan	nan	nan	nan	0.00025	0.00107	0.13016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00016	0.00484	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09072	0.00033	0.07071	nan	0.08696	0.0048	nan	0.00049	918810
Spanish	0.01323	0.02304	nan	0.22335	nan	nan	0.01029	nan	nan	nan	nan	nan	0.18751	nan	nan	nan	nan	nan	nan	nan	0.0108	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01041	nan	nan	nan	0.00254	nan	nan	nan	nan	nan	nan	0.02734	nan	nan	nan	nan	nan	nan	0.11905	nan	9e-05	nan	nan	nan	0.01758	nan	nan	nan	nan	0.0	2e-05	0.10558	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	0.00198	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09199	nan	0.03984	nan	0.10479	0.01056	nan	0.0	1254785
