	Bakker-like-head_initial
ADP-udep-ADP	0.5833333333333334
ADP-udep-ADV	0.5
ADP-udep-CCONJ	1.0
ADP-udep-DET	1.0
ADP-udep-NOUN	0.5555555555555556
ADV-comp-ADJ	0.5
ADV-comp-NOUN	0.5
ADV-comp-PRON	0.5714285714285714
ADV-comp-VERB	0.6666666666666666
ADV-comp:obj-ADJ	0.5
ADV-comp:obj-NOUN	0.5
ADV-comp:obj-PRON	0.5714285714285714
ADV-comp:obj-VERB	0.75
ADV-comp:obl-PRON	0.5
ADV-comp:obl-PROPN	1.0
ADV-det-DET	0.3333333333333333
ADV-mod-ADJ	0.3076923076923077
ADV-mod-ADP	0.42857142857142855
ADV-mod-ADV	0.8
ADV-mod-AUX	0.25
ADV-mod-CCONJ	0.4
ADV-mod-NOUN	0.5833333333333334
ADV-mod-NUM	0.4444444444444444
ADV-mod-PART	0.4090909090909091
ADV-mod-PRON	0.5555555555555556
ADV-mod-VERB	0.4
ADV-subj-DET	0.5
ADV-subj-NOUN	0.6666666666666666
ADV-subj-PRON	0.5454545454545454
ADV-subj-PROPN	0.25
ADV-udep-ADJ	1.0
ADV-udep-ADP	0.3333333333333333
ADV-udep-ADV	0.6
ADV-udep-DET	1.0
ADV-udep-NOUN	0.6842105263157895
ADV-udep-PRON	0.5
ADV-udep-PROPN	0.5
ADV-udep-SCONJ	1.0
AUX-comp-ADJ	0.4782608695652174
AUX-comp-ADP	0.4444444444444444
AUX-comp-ADV	0.75
AUX-comp-AUX	0.38461538461538464
AUX-comp-CCONJ	1.0
AUX-comp-DET	0.8888888888888888
AUX-comp-NOUN	0.4642857142857143
AUX-comp-NUM	0.375
AUX-comp-PART	0.6666666666666666
AUX-comp-PRON	0.8
AUX-comp-PROPN	0.3333333333333333
AUX-comp-SCONJ	0.5
AUX-comp-VERB	0.4838709677419355
AUX-comp:aff-VERB	1.0
AUX-comp:aux-ADJ	0.5
AUX-comp:aux-ADV	0.6666666666666666
AUX-comp:aux-AUX	0.38461538461538464
AUX-comp:aux-CCONJ	1.0
AUX-comp:aux-DET	1.0
AUX-comp:aux-NOUN	0.35294117647058826
AUX-comp:aux-NUM	0.5
AUX-comp:aux-PART	0.5
AUX-comp:aux-PRON	0.5454545454545454
AUX-comp:aux-SCONJ	0.6666666666666666
AUX-comp:aux-VERB	0.42857142857142855
AUX-comp:obj-DET	1.0
AUX-comp:obj-NOUN	0.5
AUX-comp:obj-PRON	0.875
AUX-comp:obl-DET	1.0
AUX-comp:obl-PRON	0.6666666666666666
AUX-comp:pred-ADJ	0.5238095238095238
AUX-comp:pred-ADP	0.2222222222222222
AUX-comp:pred-ADV	0.8
AUX-comp:pred-AUX	0.55
AUX-comp:pred-CCONJ	1.0
AUX-comp:pred-DET	0.875
AUX-comp:pred-NOUN	0.4782608695652174
AUX-comp:pred-NUM	0.5
AUX-comp:pred-PART	0.5
AUX-comp:pred-PRON	0.6551724137931034
AUX-comp:pred-PROPN	0.18181818181818182
AUX-comp:pred-SCONJ	0.6666666666666666
AUX-comp:pred-VERB	0.5454545454545454
AUX-dislocated-AUX	1.0
AUX-dislocated-DET	1.0
AUX-dislocated-NOUN	0.5
AUX-dislocated-PRON	0.6666666666666666
AUX-dislocated-PROPN	0.4
AUX-dislocated-VERB	0.3333333333333333
AUX-mod-ADJ	0.9444444444444444
AUX-mod-ADP	0.45454545454545453
AUX-mod-ADV	0.8225806451612904
AUX-mod-AUX	0.8888888888888888
AUX-mod-CCONJ	0.7
AUX-mod-DET	1.0
AUX-mod-NOUN	0.5882352941176471
AUX-mod-NUM	1.0
AUX-mod-PART	0.6785714285714286
AUX-mod-PRON	0.9
AUX-mod-PROPN	0.7142857142857143
AUX-mod-SCONJ	0.625
AUX-mod-VERB	1.0
AUX-mod-X	1.0
AUX-subj-ADJ	1.0
AUX-subj-ADP	0.6153846153846154
AUX-subj-ADV	0.6666666666666666
AUX-subj-AUX	0.7777777777777778
AUX-subj-CCONJ	0.5
AUX-subj-DET	0.7307692307692307
AUX-subj-NOUN	0.7023809523809523
AUX-subj-NUM	0.782608695652174
AUX-subj-PRON	0.6428571428571429
AUX-subj-PROPN	0.7258064516129032
AUX-subj-SCONJ	0.6666666666666666
AUX-subj-SYM	0.8333333333333334
AUX-subj-VERB	0.55
AUX-subj-X	0.8181818181818182
AUX-subj:aff-PRON	1.0
AUX-udep-ADJ	0.375
AUX-udep-ADP	0.22950819672131148
AUX-udep-ADV	0.18181818181818182
AUX-udep-CCONJ	0.5
AUX-udep-DET	0.4
AUX-udep-NOUN	0.24
AUX-udep-NUM	0.5714285714285714
AUX-udep-PRON	0.17391304347826086
AUX-udep-PROPN	0.2222222222222222
AUX-udep-SCONJ	0.42857142857142855
CCONJ-comp-ADJ	1.0
CCONJ-comp-ADV	0.3333333333333333
CCONJ-comp-AUX	0.6666666666666666
CCONJ-comp-CCONJ	0.5
CCONJ-comp-DET	1.0
CCONJ-comp-NOUN	0.25
CCONJ-comp-VERB	0.5
CCONJ-comp:obj-ADJ	1.0
CCONJ-comp:obj-ADV	0.5
CCONJ-comp:obj-AUX	1.0
CCONJ-comp:obj-CCONJ	0.5
CCONJ-comp:obj-DET	1.0
CCONJ-comp:obj-NOUN	0.25
CCONJ-comp:obj-VERB	0.6666666666666666
CCONJ-mod-ADV	0.375
CCONJ-mod-NOUN	0.5
CCONJ-mod-PART	0.5
CCONJ-subj-NOUN	0.6666666666666666
CCONJ-udep-ADP	1.0
DET-comp-PRON	1.0
DET-comp:obj-PRON	1.0
DET-det-DET	0.4666666666666667
DET-det-PRON	1.0
DET-mod-ADJ	0.5
DET-mod-ADV	0.6206896551724138
DET-mod-DET	0.75
DET-mod-NUM	0.3333333333333333
DET-mod-PART	0.36363636363636365
DET-subj-DET	1.0
DET-subj-NOUN	1.0
DET-subj-PRON	1.0
DET-udep-ADP	0.5
DET-udep-ADV	1.0
DET-udep-PRON	1.0
INTJ-mod-ADV	1.0
INTJ-mod-PART	1.0
NOUN-any-NUM	0.5052631578947369
NOUN-any-[Poss=Yes]	0.14285714285714285
NOUN-any[PronType=Dem]	0.30303030303030304
NOUN-comp-ADJ	0.6666666666666666
NOUN-comp-ADP	0.8333333333333334
NOUN-comp-ADV	1.0
NOUN-comp-AUX	0.5
NOUN-comp-DET	0.6666666666666666
NOUN-comp-NOUN	0.6428571428571429
NOUN-comp-PART	0.5
NOUN-comp-PRON	0.8333333333333334
NOUN-comp-PROPN	0.5
NOUN-comp-VERB	0.4
NOUN-comp:obj-ADP	0.6
NOUN-comp:obj-ADV	1.0
NOUN-comp:obj-DET	0.75
NOUN-comp:obj-NOUN	0.6153846153846154
NOUN-comp:obj-PART	1.0
NOUN-comp:obj-PRON	0.5833333333333334
NOUN-comp:obj-PROPN	0.5
NOUN-comp:obj-VERB	0.3333333333333333
NOUN-comp:obl-ADP	1.0
NOUN-comp:obl-DET	1.0
NOUN-comp:obl-NOUN	0.25
NOUN-comp:obl-PRON	0.9090909090909091
NOUN-comp:pred-ADJ	0.6666666666666666
NOUN-comp:pred-VERB	1.0
NOUN-det-ADP	0.5
NOUN-det-DET	0.19387755102040816
NOUN-det-PRON	0.21951219512195122
NOUN-mod-ADJ	0.2112676056338028
NOUN-mod-ADP	0.7142857142857143
NOUN-mod-ADV	0.8985507246376812
NOUN-mod-AUX	0.36363636363636365
NOUN-mod-CCONJ	0.5454545454545454
NOUN-mod-DET	0.5555555555555556
NOUN-mod-NOUN	0.4528301886792453
NOUN-mod-NUM	0.5714285714285714
NOUN-mod-PART	0.4482758620689655
NOUN-mod-PRON	0.38181818181818183
NOUN-mod-PROPN	0.39473684210526316
NOUN-mod-SCONJ	0.42857142857142855
NOUN-mod-SYM	0.75
NOUN-mod-VERB	0.6428571428571429
NOUN-mod-X	0.7222222222222222
NOUN-mod[gen]-ADPNOUN	0.3548387096774194
NOUN-subj-ADJ	0.5714285714285714
NOUN-subj-ADP	0.25
NOUN-subj-ADV	1.0
NOUN-subj-AUX	1.0
NOUN-subj-DET	0.2
NOUN-subj-NOUN	0.7297297297297297
NOUN-subj-NUM	0.5
NOUN-subj-PRON	0.4411764705882353
NOUN-subj-PROPN	0.6470588235294118
NOUN-subj-VERB	0.5
NOUN-subj-X	0.3333333333333333
NOUN-udep-ADJ	1.0
NOUN-udep-ADP	0.4
NOUN-udep-ADV	0.75
NOUN-udep-CCONJ	0.3333333333333333
NOUN-udep-DET	0.6666666666666666
NOUN-udep-NOUN	0.65
NOUN-udep-NUM	0.5
NOUN-udep-PART	0.4
NOUN-udep-PRON	0.7
NOUN-udep-PROPN	0.6
NOUN-udep-SCONJ	0.3333333333333333
NOUN-udep-X	1.0
NUM-comp-PRON	0.5
NUM-det-DET	0.2777777777777778
NUM-det-PRON	0.5
NUM-mod-ADJ	0.6363636363636364
NUM-mod-ADP	1.0
NUM-mod-ADV	0.4186046511627907
NUM-mod-CCONJ	1.0
NUM-mod-DET	0.25
NUM-mod-NOUN	0.5714285714285714
NUM-mod-NUM	0.625
NUM-mod-PART	0.1111111111111111
NUM-mod-PRON	0.5714285714285714
NUM-mod-PROPN	0.75
NUM-mod-SCONJ	1.0
NUM-mod-X	1.0
NUM-subj-ADJ	1.0
NUM-subj-NOUN	0.2857142857142857
NUM-subj-PRON	1.0
NUM-udep-ADV	0.5
NUM-udep-NOUN	0.5
NUM-udep-NUM	1.0
PART-comp-ADJ	0.42857142857142855
PART-comp-ADP	0.6666666666666666
PART-comp-ADV	0.25
PART-comp-AUX	0.5
PART-comp-DET	0.3333333333333333
PART-comp-NOUN	0.4375
PART-comp-PART	0.75
PART-comp-PRON	0.25
PART-comp-PROPN	0.125
PART-comp-VERB	0.6
PART-comp:obj-ADJ	0.42857142857142855
PART-comp:obj-ADP	0.6666666666666666
PART-comp:obj-ADV	0.25
PART-comp:obj-AUX	0.5
PART-comp:obj-DET	0.3333333333333333
PART-comp:obj-NOUN	0.4375
PART-comp:obj-PART	0.75
PART-comp:obj-PRON	0.3333333333333333
PART-comp:obj-PROPN	0.125
PART-comp:obj-VERB	0.6
PART-mod-ADJ	0.3333333333333333
PART-mod-ADP	0.3333333333333333
PART-mod-ADV	0.4444444444444444
PART-mod-AUX	0.3333333333333333
PART-mod-CCONJ	1.0
PART-mod-NOUN	0.3333333333333333
PART-mod-PART	0.5384615384615384
PART-mod-SCONJ	0.3333333333333333
PART-mod-VERB	0.25
PART-subj-NOUN	0.1111111111111111
PART-udep-ADP	0.375
PART-udep-DET	1.0
PART-udep-NOUN	0.25
PRON-comp-PRON	0.75
PRON-comp:obj-PRON	1.0
PRON-comp:obl-PRON	1.0
PRON-det-DET	0.3333333333333333
PRON-det-PRON	0.5
PRON-mod-ADJ	0.6666666666666666
PRON-mod-ADP	1.0
PRON-mod-ADV	0.896551724137931
PRON-mod-AUX	0.6666666666666666
PRON-mod-CCONJ	0.5
PRON-mod-DET	0.6666666666666666
PRON-mod-NOUN	0.5
PRON-mod-NUM	1.0
PRON-mod-PART	0.7692307692307693
PRON-mod-PRON	0.625
PRON-mod-PROPN	0.3333333333333333
PRON-mod-VERB	0.3333333333333333
PRON-subj-NOUN	0.2
PRON-subj-PRON	0.6666666666666666
PRON-subj-VERB	0.5
PRON-udep-ADP	0.5
PRON-udep-ADV	1.0
PRON-udep-NOUN	0.25
PRON-udep-PRON	1.0
PROPN-comp-PRON	0.6666666666666666
PROPN-comp:obl-PRON	0.6666666666666666
PROPN-det-DET	0.14285714285714285
PROPN-det-PRON	0.25
PROPN-det-PROPN	1.0
PROPN-dislocated-NOUN	1.0
PROPN-mod-ADJ	0.6666666666666666
PROPN-mod-ADP	0.75
PROPN-mod-ADV	0.875
PROPN-mod-AUX	0.25
PROPN-mod-CCONJ	0.25
PROPN-mod-DET	1.0
PROPN-mod-NOUN	0.5833333333333334
PROPN-mod-NUM	0.6
PROPN-mod-PART	0.5454545454545454
PROPN-mod-PRON	0.7
PROPN-mod-PROPN	0.4782608695652174
PROPN-mod-SCONJ	1.0
PROPN-mod-SYM	0.5
PROPN-mod-VERB	0.6
PROPN-mod-X	0.75
PROPN-subj-NOUN	0.375
PROPN-subj-PRON	0.14285714285714285
PROPN-subj-PROPN	0.6666666666666666
PROPN-udep-ADP	0.625
PROPN-udep-ADV	1.0
PROPN-udep-NOUN	0.5
PROPN-udep-PRON	1.0
PROPN-udep-PROPN	1.0
SCONJ-comp-ADJ	0.5
SCONJ-comp-ADV	0.5
SCONJ-comp-NOUN	0.2
SCONJ-comp-PART	0.3333333333333333
SCONJ-comp-SCONJ	0.3333333333333333
SCONJ-comp-VERB	0.3333333333333333
SCONJ-comp:obj-ADJ	0.5
SCONJ-comp:obj-ADV	0.6666666666666666
SCONJ-comp:obj-NOUN	0.2
SCONJ-comp:obj-PART	0.3333333333333333
SCONJ-comp:obj-SCONJ	0.5
SCONJ-comp:obj-VERB	0.3333333333333333
SCONJ-mod-ADJ	0.4
SCONJ-mod-ADP	0.7142857142857143
SCONJ-mod-ADV	0.21428571428571427
SCONJ-mod-CCONJ	0.25
SCONJ-mod-NOUN	0.5
SCONJ-mod-PART	0.2222222222222222
SCONJ-mod-SCONJ	0.3076923076923077
SCONJ-mod-VERB	0.3333333333333333
SCONJ-subj-ADJ	1.0
SCONJ-subj-DET	1.0
SCONJ-subj-NOUN	0.6
SCONJ-subj-PRON	0.2222222222222222
SCONJ-subj-VERB	1.0
SCONJ-udep-ADP	0.3333333333333333
SCONJ-udep-NOUN	0.3333333333333333
SYM-comp-PRON	1.0
SYM-mod-ADJ	1.0
SYM-mod-ADV	1.0
SYM-mod-NOUN	0.5
SYM-mod-NUM	0.5714285714285714
SYM-subj-NOUN	1.0
VERB-clf-NOUN	1.0
VERB-comp-ADJ	0.65
VERB-comp-ADP	0.5294117647058824
VERB-comp-ADV	0.8333333333333334
VERB-comp-AUX	0.8
VERB-comp-CCONJ	0.3333333333333333
VERB-comp-DET	0.8888888888888888
VERB-comp-NOUN	0.5531914893617021
VERB-comp-NUM	0.45454545454545453
VERB-comp-PART	0.375
VERB-comp-PRON	0.8142857142857143
VERB-comp-PROPN	0.5
VERB-comp-SCONJ	0.25
VERB-comp-VERB	0.5555555555555556
VERB-comp-X	1.0
VERB-comp:obj-ADJ	0.6428571428571429
VERB-comp:obj-ADP	0.46153846153846156
VERB-comp:obj-ADV	0.8
VERB-comp:obj-AUX	0.75
VERB-comp:obj-CCONJ	0.5
VERB-comp:obj-DET	0.9375
VERB-comp:obj-NOUN	0.5319148936170213
VERB-comp:obj-NOUNPROPN	0.5106382978723404
VERB-comp:obj-NUM	0.6666666666666666
VERB-comp:obj-PART	0.2857142857142857
VERB-comp:obj-PRON	0.8307692307692308
VERB-comp:obj-PROPN	0.5
VERB-comp:obj-SCONJ	0.5
VERB-comp:obj-VERB	0.5263157894736842
VERB-comp:obj-X	1.0
VERB-comp:obl-ADJ	0.75
VERB-comp:obl-ADP	0.5
VERB-comp:obl-ADPNOUN	0.5555555555555556
VERB-comp:obl-ADV	0.5
VERB-comp:obl-AUX	0.6666666666666666
VERB-comp:obl-CCONJ	0.5
VERB-comp:obl-DET	1.0
VERB-comp:obl-NOUN	0.6470588235294118
VERB-comp:obl-NUM	1.0
VERB-comp:obl-PRON	0.8888888888888888
VERB-comp:obl-PROPN	0.8888888888888888
VERB-comp:obl-VERB	0.2
VERB-comp:obl-X	1.0
VERB-comp:pred-ADJ	0.7058823529411765
VERB-comp:pred-ADP	0.3333333333333333
VERB-comp:pred-ADV	0.6666666666666666
VERB-comp:pred-AUX	1.0
VERB-comp:pred-DET	0.6666666666666666
VERB-comp:pred-NOUN	0.5
VERB-comp:pred-PRON	0.5714285714285714
VERB-comp:pred-PROPN	0.5
VERB-comp:pred-VERB	0.8333333333333334
VERB-comp:pred-X	1.0
VERB-det-ADP	0.75
VERB-det-DET	0.3125
VERB-det-PRON	0.5
VERB-dislocated-ADJ	1.0
VERB-dislocated-ADP	0.6666666666666666
VERB-dislocated-AUX	0.5
VERB-dislocated-DET	1.0
VERB-dislocated-NOUN	0.6428571428571429
VERB-dislocated-PART	1.0
VERB-dislocated-PRON	0.75
VERB-dislocated-PROPN	0.5
VERB-dislocated-SCONJ	0.3333333333333333
VERB-dislocated-VERB	0.3333333333333333
VERB-mod-ADJ	0.7352941176470589
VERB-mod-ADP	0.6666666666666666
VERB-mod-ADV	0.8131868131868132
VERB-mod-AUX	0.5833333333333334
VERB-mod-CCONJ	0.5714285714285714
VERB-mod-DET	0.5
VERB-mod-INTJ	1.0
VERB-mod-NOUN	0.5757575757575758
VERB-mod-NUM	0.5263157894736842
VERB-mod-PART	0.48214285714285715
VERB-mod-PRON	0.5625
VERB-mod-PROPN	0.16666666666666666
VERB-mod-SCONJ	0.7083333333333334
VERB-mod-VERB	0.6842105263157895
VERB-mod-X	0.5
VERB-subj-ADJ	0.875
VERB-subj-ADP	0.5652173913043478
VERB-subj-ADV	0.5
VERB-subj-AUX	0.3333333333333333
VERB-subj-CCONJ	0.3333333333333333
VERB-subj-DET	0.6551724137931034
VERB-subj-NOUN	0.7058823529411765
VERB-subj-NOUNPROPN	0.6796116504854369
VERB-subj-NUM	0.868421052631579
VERB-subj-PART	0.42857142857142855
VERB-subj-PRON	0.5384615384615384
VERB-subj-PROPN	0.6756756756756757
VERB-subj-SCONJ	0.6
VERB-subj-SYM	0.8888888888888888
VERB-subj-VERB	0.64
VERB-subj-X	0.8571428571428571
VERB-subj:aff-PRON	1.0
VERB-udep-ADJ	0.9411764705882353
VERB-udep-ADP	0.42857142857142855
VERB-udep-ADV	0.6470588235294118
VERB-udep-CCONJ	0.4
VERB-udep-DET	0.8571428571428571
VERB-udep-NOUN	0.6326530612244898
VERB-udep-NUM	0.6
VERB-udep-PART	0.3333333333333333
VERB-udep-PRON	0.8518518518518519
VERB-udep-PROPN	0.6190476190476191
VERB-udep-SCONJ	0.3333333333333333
VERB-udep-VERB	0.5714285714285714
VERB-udep-X	0.5
X-det-DET	0.3125
X-mod-ADJ	0.7142857142857143
X-mod-ADV	1.0
X-mod-NOUN	0.625
X-mod-NUM	0.7142857142857143
X-mod-PRON	1.0
X-mod-PROPN	0.6666666666666666
X-mod-X	1.0
X-subj-NOUN	1.0
X-subj-X	1.0
INTJ-mod-AUX	0.0
PRON-subj-PART	0.0
AUX-comp:obl-ADP	0.0
VERB-dislocated-CCONJ	0.0
PART-comp:obj-CCONJ	0.0
ADJ-comp-PROPN	0.0
ADJ-comp:obj-VERB	0.0
PART-comp:obj-SCONJ	0.0
NOUN-udep-VERB	0.0
PRON-udep-PROPN	0.0
ADJ-comp-CCONJ	0.0
ADJ-subj-PART	0.0
NUM-subj-VERB	0.0
ADV-comp:pred-ADJ	0.0
CCONJ-udep-ADV	0.0
AUX-mod:periph-ADP	0.0
CCONJ-mod-ADJ	0.0
SCONJ-comp:obl-ADV	0.0
ADP-subj-ADP	0.0
PART-comp-NUM	0.0
NOUN-mod:m-ADJ	0.0
PRON-udep-PART	0.0
SCONJ-comp:obj-NUM	0.0
VERB-mod:periph$cond-SCONJ	0.0
INTJ-mod-NOUN	0.0
PART-subj-VERB	0.0
AUX-comp:aux-ADP	0.0
ADJ-subj-ADP	0.0
SCONJ-subj-NUM	0.0
SCONJ-mod-AUX	0.0
NOUN-comp:obl-VERB	0.0
ADV-det-PRON	0.0
PART-subj-PROPN	0.0
PRON-udep-SCONJ	0.0
ADV-comp-ADP	0.0
INTJ-subj-NOUN	0.0
NOUN-det-PART	0.0
ADP-comp:obj-SCONJ	0.0
ADJ-comp-PART	0.0
NUM-udep-CCONJ	0.0
VERB-mod:periph$tempo-ADP	0.0
CCONJ-mod-CCONJ	0.0
VERB-mod:periph-ADV	0.0
VERB-comp:obl-SCONJ	0.0
SCONJ-dislocated-NOUN	0.0
NUM-udep-SCONJ	0.0
DET-mod-NOUN	0.0
AUX-dislocated-ADP	0.0
AUX-udep-VERB	0.0
SCONJ-comp-AUX	0.0
SCONJ-comp-ADP	0.0
NOUN-comp:obj-ADJ	0.0
ADV-comp:pred-NOUN	0.0
ADJ-udep-CCONJ	0.0
PROPN-det-ADV	0.0
SYM-mod-AUX	0.0
AUX-mod-INTJ	0.0
ADJ-dislocated-CCONJ	0.0
PROPN-det-NUM	0.0
PROPN-clf-NOUN	0.0
CCONJ-comp:obl-SCONJ	0.0
SYM-mod-PART	0.0
SCONJ-comp:obj-PROPN	0.0
ADJ-dislocated-PRON	0.0
PART-mod:periph-ADV	0.0
SCONJ-mod-NUM	0.0
DET-udep-NOUN	0.0
PART-comp:obj-NUM	0.0
CCONJ-comp:obj-PRON	0.0
SCONJ-comp:obl-VERB	0.0
ADJ-udep-SCONJ	0.0
X-subj-DET	0.0
NUM-mod-AUX	0.0
NUM-subj-PART	0.0
SCONJ-comp:pred-SCONJ	0.0
CCONJ-mod-PRON	0.0
NOUN-comp:obl-ADJ	0.0
X-mod-PART	0.0
SCONJ-subj-CCONJ	0.0
CCONJ-comp:obl-VERB	0.0
PROPN-subj-ADJ	0.0
CCONJ-comp-SCONJ	0.0
NUM-subj-PROPN	0.0
ADV-udep-AUX	0.0
INTJ-udep-ADP	0.0
CCONJ-subj-CCONJ	0.0
NOUN-det-NOUN	0.0
PRON-comp:pred-DET	0.0
ADP-comp:obj-X	0.0
VERB-mod:periph-NOUN	0.0
NOUN-mod@relcl-VERB	0.0
SCONJ-comp:obj-CCONJ	0.0
NOUN-dislocated-NOUN	0.0
NOUN-comp:obl-SCONJ	0.0
NOUN-subj-CCONJ	0.0
ADP-comp-PUNCT	0.0
NOUN-subj-SCONJ	0.0
NOUN-comp-CCONJ	0.0
PART-det-PART	0.0
X-mod-AUX	0.0
AUX-comp:obl-NOUN	0.0
X-det-PRON	0.0
ADV-dislocated-PROPN	0.0
PRON-subj-ADP	0.0
DET-mod-CCONJ	0.0
SCONJ-comp:pred-CCONJ	0.0
NUM-subj-ADP	0.0
ADP-comp-PART	0.0
PART-udep-CCONJ	0.0
PART-det-PRON	0.0
CCONJ-dislocated-PROPN	0.0
PART-subj-SCONJ	0.0
NOUN-dislocated-PROPN	0.0
ADP-comp:obl-NOUN	0.0
ADP-comp-SCONJ	0.0
INTJ-det-DET	0.0
NOUN-subj-SYM	0.0
PRON-comp:pred-NOUN	0.0
CCONJ-mod-PROPN	0.0
ADV-comp:pred-SCONJ	0.0
ADV-dislocated-NOUN	0.0
X-udep-ADP	0.0
ADJ-subj-CCONJ	0.0
INTJ-mod-SCONJ	0.0
ADJ-comp:obl-ADV	0.0
SCONJ-udep-SCONJ	0.0
SCONJ-comp-CCONJ	0.0
AUX-udep-AUX	0.0
X-subj-PRON	0.0
PRON-det-ADV	0.0
SCONJ-comp-PRON	0.0
ADV-comp:obj-ADV	0.0
NUM-mod:m-NUM	0.0
NOUN-comp:obl-ADV	0.0
ADV-subj-ADP	0.0
VERB-comp:pred-NUM	0.0
SCONJ-comp:obl-CCONJ	0.0
ADV-comp-CCONJ	0.0
ADJ-comp:obj-PART	0.0
SCONJ-subj-PROPN	0.0
ADJ-mod:m-VERB	0.0
ADV-mod-PROPN	0.0
SCONJ-comp:obj-PRON	0.0
AUX-comp-X	0.0
ADJ-comp-VERB	0.0
ADV-comp-PROPN	0.0
ADJ-mod:m-ADV	0.0
X-udep-PART	0.0
ADV-udep-NUM	0.0
ADV-comp:obl-VERB	0.0
NUM-udep-DET	0.0
CCONJ-comp:obl-CCONJ	0.0
NOUN-comp-SCONJ	0.0
NUM-det-ADV	0.0
NOUN-mod:m-VERB	0.0
PRON-comp:pred-PRON	0.0
ADV-comp:obj-CCONJ	0.0
AUX-mod:periph-NOUN	0.0
PART-subj-PART	0.0
ADP-comp:obj-CCONJ	0.0
ADP-comp-SYM	0.0
ADJ-dislocated-NOUN	0.0
ADV-dislocated-SCONJ	0.0
NOUN-comp:pred-ADP	0.0
NOUN-comp:obj-CCONJ	0.0
ADV-mod-DET	0.0
