name	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	total
Basque	0.05781	0.01544	0.04325	0.10332	0.05095	0.03408	0.0003	0.24467	0.02936	0.01201	0.00646	0.08126	0.16313	2e-05	0.00012	0.157	0.00082	121443
Persian	0.07488	0.13518	0.01856	0.03944	0.0466	0.02168	0.00117	0.34488	0.01465	0.00461	0.04574	0.03625	0.08825	0.02892	nan	0.09879	0.00039	654696
Finnish	0.06867	0.01589	0.07222	0.06341	0.0363	0.01034	0.00149	0.25867	0.02014	0.01431	0.0663	0.05378	0.14525	0.02202	0.00179	0.14768	0.00176	397264
Faroese	0.02973	0.10985	0.05536	0.06426	0.05877	0.03534	0.00051	0.1313	0.00679	0.00715	0.12568	0.05219	0.1687	0.03617	nan	0.1173	0.00089	50486
French	0.06004	0.15329	0.0424	0.02931	0.02366	0.14661	0.00396	0.19187	0.02601	0.00035	0.04974	0.04915	0.1258	0.01008	9e-05	0.08355	0.00409	1208514
OldFrench	0.03281	0.08262	0.10224	0.03817	0.05086	0.08414	0.00073	0.13342	0.00378	nan	0.12629	0.02814	0.13682	0.0295	nan	0.15049	1e-05	199699
Irish	0.05526	0.15482	0.01751	0.01331	0.03135	0.0854	0.0007	0.27354	0.01675	0.05815	0.03141	0.06237	0.10128	0.01302	0.00516	0.07437	0.0056	135227
Gaelic	0.03798	0.13017	0.0512	0.01466	0.03786	0.07269	0.00587	0.20966	0.01165	0.09729	0.10749	0.04687	0.05992	0.01202	6e-05	0.10025	0.00436	89958
Galician	0.07999	0.1642	0.02761	0.01307	0.0304	0.17048	9e-05	0.22183	0.01595	0.00419	0.04431	0.02117	0.09643	0.01321	0.00359	0.09343	5e-05	164385
Guarani	nan	0.10138	0.06452	nan	nan	0.01382	0.00461	0.31797	0.00461	0.09677	0.13364	0.05069	0.02304	nan	nan	0.18894	nan	217
Gothic	0.08638	0.08803	0.09291	0.02774	0.09213	0.04469	0.00389	0.185	0.00723	nan	0.1059	0.03294	nan	0.03018	nan	0.20265	0.00034	55336
AncientGreek	0.09224	0.06301	0.10096	0.01395	0.04988	0.10497	0.00234	0.18481	0.00448	0.03268	0.07308	0.02124	0.05987	0.01532	nan	0.18107	0.00012	416988
SwissGerman	0.05886	0.09557	0.09972	0.10526	0.03255	0.09349	nan	0.12881	0.009	0.02355	0.08172	0.03947	0.12327	0.01801	nan	0.08864	0.00208	1444
Guajajára	nan	0.07762	0.04225	0.02031	0.01114	0.01103	0.00415	0.27817	0.00098	0.1619	0.09662	0.01845	0.15775	0.00382	nan	0.11572	0.00011	9160
MbyáGuaraní	0.00367	0.07808	0.02445	0.00038	0.00466	0.00183	0.0013	0.11055	0.00863	0.19933	0.09382	0.00833	0.16243	0.09817	nan	0.20376	0.00061	13089
Manx	0.0482	0.13274	0.01925	0.00333	0.01612	0.09201	0.00058	0.20497	0.00695	0.02229	0.15971	0.01539	0.14277	0.00343	0.00014	0.13187	0.00024	20725
AncientHebrew	0.00979	0.13339	0.02126	0.00866	0.11251	0.04785	0.00597	0.18829	0.01342	0.00248	0.11015	0.06653	0.1265	0.02662	nan	0.12658	nan	39036
Hebrew	0.05537	0.16463	0.03263	0.01139	0.03271	0.10451	2e-05	0.24101	0.02128	nan	0.04304	0.06092	0.11546	0.03255	0.00048	0.08244	0.00155	302361
Hindi	0.06295	0.20788	0.00923	0.06799	0.01857	0.02237	1e-05	0.22302	0.01915	0.01951	0.04215	0.11796	0.06857	0.01893	8e-05	0.10123	0.0004	375533
Hittite	0.01604	0.03743	0.05577	0.00688	0.06723	0.01222	0.00076	0.29565	0.02368	0.12529	0.11154	0.05577	nan	0.02597	nan	0.16272	0.00306	1309
Croatian	0.12105	0.09573	0.04226	0.06302	0.04083	0.03858	6e-05	0.2436	0.01579	0.01049	0.02659	0.06444	0.12118	0.02472	0.0006	0.08719	0.00387	199409
UpperSorbian	0.12692	0.09807	0.04778	0.02581	0.03769	0.02921	nan	0.22713	0.03412	0.00214	0.03019	0.05323	0.18051	0.01313	0.00286	0.07342	0.01777	11196
Hungarian	0.13188	0.01922	0.07402	0.00481	0.04359	0.1255	0.00031	0.23051	0.02653	0.00255	0.03283	0.06467	0.13816	0.01787	nan	0.08715	0.00043	42032
Armenian	0.0814	0.03309	0.04196	0.06795	0.04256	0.03531	0.00203	0.25736	0.01679	0.00995	0.03457	0.03821	0.1934	0.01708	0.0011	0.12375	0.00349	94390
WesternArmenian	0.07847	0.04311	0.04716	0.07298	0.04141	0.05467	0.00212	0.24622	0.0088	0.00749	0.03272	0.03595	0.18368	0.01535	0.00015	0.126	0.00374	122907
Indonesian	0.04122	0.09133	0.02932	0.01829	0.02862	0.03037	8e-05	0.22842	0.03903	0.0083	0.05269	0.16715	0.13741	0.0181	0.00123	0.10515	0.00327	169728
Icelandic	0.04063	0.11108	0.08235	0.05212	0.05481	0.04114	0.00109	0.1556	0.00658	0.01387	0.11594	0.04367	0.10991	0.03994	3e-05	0.12908	0.00217	1183892
Italian	0.06365	0.1469	0.04161	0.03788	0.02782	0.15309	0.00196	0.19093	0.01703	4e-05	0.04143	0.05011	0.1137	0.01088	0.01604	0.08471	0.00221	879124
Japanese	0.02369	0.22392	0.01665	0.10545	0.00495	0.00546	0.00072	0.26392	0.02665	0.01043	0.00971	0.0284	0.12617	0.03609	0.01262	0.1049	0.00027	2659624
Jamamadí	nan	nan	0.02609	0.11304	nan	nan	nan	0.13913	nan	0.01739	0.27826	nan	0.17391	nan	nan	0.21739	0.03478	115
Javanese	0.03774	0.08757	0.03145	0.01838	0.02467	0.03387	0.00048	0.19255	0.05418	0.00387	0.05322	0.1611	0.14562	0.01113	0.00194	0.09531	0.04693	2067
Khunsari	0.01351	0.06757	0.08108	0.01351	0.01351	nan	nan	0.2973	0.06757	nan	0.10811	nan	0.13514	0.01351	nan	0.18919	nan	74
Kazakh	0.0784	0.01661	0.02885	0.03426	0.01775	0.02088	0.00218	0.29423	0.0355	0.00313	0.04679	0.05334	0.19894	0.00199	0.00028	0.15594	0.01091	10536
Kurmanji	0.04279	0.16481	0.02427	0.04201	0.03558	0.02173	0.00166	0.25858	0.02125	0.00955	0.08538	0.04308	0.12466	0.01988	0.00029	0.10156	0.00292	10260
Korean	0.0394	0.00668	0.13647	0.02043	0.04329	0.01311	0.00013	0.32533	0.01389	0.00174	0.01962	0.03253	0.11394	0.03934	0.0012	0.1912	0.0017	446996
Komi-Permyak	0.0349	0.01695	0.08674	0.03589	0.04387	0.00399	0.00299	0.22333	0.00897	0.00499	0.09771	0.02891	0.22632	0.00798	nan	0.17647	nan	1003
Komi	0.05697	0.03204	0.10431	0.03522	0.04407	0.00529	0.0026	0.24201	0.01261	0.00895	0.06957	0.00693	0.20266	0.01318	nan	0.16339	0.00019	10392
Karelian	0.06981	0.01551	0.0585	0.04331	0.05107	nan	0.00097	0.27149	0.01519	nan	0.09341	0.0585	0.1839	0.0139	nan	0.1225	0.00194	3094
Latin	0.06702	0.08486	0.06184	0.03903	0.05386	0.06114	0.00061	0.20361	0.00572	0.02165	0.06611	0.03503	0.11329	0.03845	nan	0.14652	0.00126	977751
Ligurian	0.03161	0.13048	0.06625	0.0459	0.03464	0.12269	0.00332	0.12933	0.00606	0.01963	0.13395	0.02728	0.11432	0.02136	nan	0.10999	0.00318	6928
Lithuanian	0.06717	0.03347	0.04176	0.01056	0.04498	0.02581	0.00034	0.29683	0.02285	0.02282	0.03545	0.02541	0.18552	0.02081	0.00082	0.1444	0.02098	75403
Latvian	0.05226	0.04395	0.05537	0.02672	0.04044	0.02356	0.00068	0.26883	0.01285	0.01984	0.05389	0.04412	0.17479	0.0224	0.00201	0.1543	0.004	286152
ClassicalChinese	nan	0.01797	0.09455	0.01682	0.01481	nan	0.00035	0.30589	0.02021	0.04705	0.04835	0.08784	nan	0.01723	0.00439	0.32452	nan	310594
Moksha	0.05246	0.02477	0.10463	0.03439	0.03556	0.00933	0.00262	0.26843	0.01078	0.00437	0.05013	0.01894	0.19353	0.00583	nan	0.18304	0.00117	3431
Malayalam	0.0297	0.00495	0.0495	0.08416	0.0099	0.0198	nan	0.18317	nan	0.05941	0.17822	0.05941	0.16832	nan	nan	0.15347	nan	202
Makuráp	nan	0.03371	0.14607	0.01124	0.02247	0.03933	0.02247	0.21348	nan	0.10112	0.06742	nan	0.01685	nan	nan	0.32584	nan	178
Marathi	0.03145	0.0759	0.05069	0.05199	0.01638	0.02963	0.00546	0.21549	0.00884	0.01222	0.09852	0.0143	0.19444	0.00702	nan	0.18742	0.00026	3847
Maltese	0.05238	0.12164	0.04049	0.03827	0.03453	0.08156	0.00147	0.19306	0.01359	0.01071	0.05256	0.03498	0.10708	0.05994	0.00546	0.1446	0.00768	44162
Mundurukú	0.00391	0.11155	0.04207	0.01663	0.00196	0.00587	0.00098	0.37573	0.00196	0.0411	0.05382	0.00489	0.13112	0.01859	nan	0.18591	0.00391	1022
Erzya	0.04328	0.02283	0.08257	0.03851	0.01894	0.01222	0.0057	0.24653	0.00871	0.00604	0.05647	0.03388	0.24103	0.00326	nan	0.17964	0.00039	20541
Neapolitan	0.1	0.1	nan	nan	nan	0.3	nan	0.3	nan	nan	nan	nan	0.1	nan	nan	0.1	nan	10
LowGerman	0.05997	0.07189	0.09302	0.04463	0.04668	0.09847	0.00239	0.12504	0.00647	0.01738	0.11312	0.01908	0.14923	0.02385	nan	0.12061	0.00818	2935
Nahuatl	0.01344	0.02292	0.13202	0.08172	0.03943	0.09328	0.00603	0.14674	0.00731	nan	0.05	0.02085	0.1831	0.02885	nan	0.17381	0.00049	10120
Dutch	0.06866	0.12456	0.05297	0.04055	0.02339	0.1168	0.00034	0.16748	0.02276	nan	0.05303	0.09209	0.12145	0.01435	0.00719	0.09329	0.00108	306989
Norwegian	0.08447	0.11682	0.03599	0.05517	0.03662	0.04693	0.0053	0.18313	0.01259	0.0222	0.08567	0.04995	0.12014	0.03487	6e-05	0.10431	0.00578	666984
Nayini	0.01282	0.10256	0.07692	0.01282	0.01282	nan	nan	0.28205	0.0641	nan	0.11538	nan	0.12821	0.01282	nan	0.17949	nan	78
Livvi	0.06189	0.00674	0.06373	0.04289	0.0435	nan	0.00245	0.26409	0.01287	nan	0.06311	0.05025	0.21507	0.01225	nan	0.15748	0.00368	1632
OldEastSlavic	0.0922	0.1121	0.06409	0.01763	0.08921	0.02552	0.00215	0.2124	0.02906	0.00844	0.06438	0.07047	0.05079	0.01101	0.00054	0.1409	0.00911	228765
OldTurkish	0.00633	0.07595	0.00633	0.1519	0.00633	0.0443	nan	0.10127	0.13291	nan	0.00633	0.0443	0.29747	0.00633	nan	0.12025	nan	158
Naija	0.02243	0.04829	0.04454	0.09653	0.01189	0.03962	0.01605	0.10414	0.00971	0.00964	0.1304	0.0165	nan	0.03653	nan	0.12806	0.28569	140798
Polish	0.09383	0.10089	0.03541	0.0269	0.02944	0.02594	0.00031	0.23438	0.00754	0.03284	0.05303	0.0351	0.17297	0.0187	0.00024	0.1258	0.00669	499392
Portuguese	0.0541	0.15538	0.03552	0.02664	0.02488	0.15449	0.00013	0.19059	0.02152	0.00058	0.02577	0.08551	0.12733	0.00835	0.00163	0.08691	0.00065	1296615
FrisianDutch	0.05739	0.11826	0.12202	0.04371	0.04264	0.096	0.05068	0.12926	0.01609	nan	0.11826	0.08179	nan	0.01636	nan	0.107	0.00054	3729
HindiEnglish	0.05236	0.09164	0.04129	0.10316	0.0184	0.03634	0.00364	0.20317	0.01081	0.04456	0.08023	0.04508	0.10487	0.02338	0.01706	0.12375	0.00026	26909
Pomak	0.0301	0.06296	0.04997	0.12028	0.05175	0.03944	0.00149	0.14818	0.01355	0.02332	0.10106	0.01265	0.15389	0.01792	nan	0.17297	0.00046	86780
TurkishGerman	0.04798	0.04454	0.18479	0.04395	0.03925	0.04666	0.04964	0.14191	0.00841	0.00986	0.11161	0.02372	0.0995	0.01808	8e-05	0.12878	0.00126	37227
K'iche'	0.03306	0.04854	0.03935	0.02267	0.00399	0.13952	0.0011	0.24358	0.00649	0.08289	0.02187	0.01728	0.16838	0.01498	nan	0.1563	nan	10013
Romanian	0.04696	0.12603	0.05272	0.04849	0.04793	0.04621	0.00116	0.20673	0.01635	0.01982	0.08608	0.02852	0.14045	0.01535	nan	0.11567	0.00155	937551
Russian	0.09671	0.09312	0.04942	0.00896	0.03654	0.02671	0.00028	0.23824	0.01361	0.03189	0.04747	0.03718	0.18463	0.01802	0.00129	0.11376	0.00217	1830033
Sanskrit	0.08584	0.00021	0.10836	0.01095	0.02234	0.00811	0.0001	0.32465	0.0107	0.06654	0.14941	0.00325	0.00673	0.00946	nan	0.19327	7e-05	28960
Yakut	0.06058	0.00143	0.07912	0.02138	0.02423	0.04562	0.00499	0.30078	0.03207	0.02067	0.09052	0.01996	0.10264	nan	nan	0.19601	nan	1403
Zaar	0.00656	0.03567	0.04367	0.13626	0.01023	0.0122	0.03777	0.10046	0.00249	0.10964	0.07357	0.0257	0.19226	0.03423	nan	0.15121	0.02807	7625
Sinhalese	0.05682	0.02727	0.04091	0.05341	0.00682	0.02614	nan	0.35	0.00455	0.10568	0.05	0.04318	0.11364	nan	nan	0.12159	nan	880
Xibe	0.06415	0.12077	0.03922	0.00786	0.00656	0.00688	0.00026	0.29907	0.03175	0.00864	0.04084	0.03389	0.12304	0.00565	6e-05	0.20064	0.01071	15401
Slovak	0.0893	0.08117	0.0419	0.03509	0.03182	0.04151	0.00062	0.20416	0.01483	0.01806	0.06065	0.04552	0.18031	0.01758	0.00022	0.1326	0.00467	106097
Slovenian	0.10145	0.08779	0.04948	0.06495	0.04339	0.03775	0.0039	0.20412	0.02055	0.03446	0.03623	0.03822	0.13806	0.03456	0.00068	0.09618	0.00821	296585
NorthSami	0.05126	0.0187	0.07823	0.07428	0.03762	nan	0.00056	0.23911	0.01296	0.0095	0.10605	0.03695	0.15433	0.01989	nan	0.16055	nan	26845
SkoltSami	0.01046	0.00871	0.10352	0.05403	0.06065	0.00314	0.02091	0.13733	0.00593	0.00662	0.10457	0.00453	0.23771	0.01987	nan	0.22168	0.00035	2869
Soi	nan	0.10909	0.07273	0.01818	nan	nan	nan	0.29091	0.09091	nan	0.10909	nan	0.14545	nan	nan	0.16364	nan	55
Albanian	0.09111	0.09219	0.02928	0.04013	0.04013	0.12581	nan	0.25813	0.00868	0.03905	0.05748	0.02169	0.09219	0.01193	nan	0.09219	nan	922
Serbian	0.11939	0.09599	0.03403	0.06351	0.0341	0.03726	4e-05	0.24385	0.01308	0.006	0.0246	0.07589	0.12637	0.03651	4e-05	0.08613	0.00319	97673
Swedish	0.07882	0.11389	0.07168	0.04345	0.03783	0.05183	0.00113	0.2078	0.01275	0.02098	0.09102	0.02627	0.10815	0.0213	0.00046	0.11251	0.00013	206904
SwedishSign	0.03416	0.01553	0.07143	nan	0.00807	0.02422	0.02919	0.22484	0.01925	nan	0.10994	nan	nan	nan	nan	0.40248	0.06087	1610
Tamil	0.04875	0.02984	0.0448	0.05919	0.00386	0.01455	nan	0.27061	0.03115	0.05393	0.03346	0.13851	0.1261	nan	nan	0.14517	8e-05	12165
Telugu	0.0099	0.00897	0.04006	nan	0.00201	0.0249	0.00247	0.22166	0.01423	0.00387	0.17123	0.03929	0.2266	0.00866	nan	0.22614	nan	6465
Thai	0.04341	0.1404	0.0426	0.06491	0.02715	0.04596	nan	0.27112	0.02603	0.02724	0.0306	0.0668	0.01219	4e-05	0.006	0.19537	0.00018	22322
Tagalog	0.04588	0.19825	0.03768	0.00109	0.01256	0.0213	0.00273	0.19498	0.00819	0.08301	0.08138	0.0355	0.1491	0.00928	nan	0.11906	nan	1831
Tupinambá	nan	0.06322	0.07431	nan	0.00133	0.01886	0.00821	0.31854	0.00377	0.04082	0.04481	0.03571	0.23447	0.00155	nan	0.1535	0.00089	4508
Turkish	0.10254	0.02154	0.05591	0.01269	0.02778	0.0386	0.00108	0.33134	0.0228	0.00285	0.02342	0.06453	0.15814	0.00127	1e-05	0.13453	0.00098	736145
Tatar	0.08553	0.02982	0.0364	0.01886	0.02325	0.0057	nan	0.35658	0.02588	nan	0.02544	0.07325	0.1614	0.00395	0.00132	0.15263	nan	2280
Uyghur	0.07076	0.01561	0.02441	0.02262	0.0125	0.01014	0.00276	0.34124	0.02475	0.00296	0.067	0.00201	0.19403	0.00154	nan	0.20698	0.0007	40236
Ukrainian	0.09822	0.08991	0.0528	0.00864	0.03901	0.03799	0.001	0.23883	0.01435	0.0288	0.04127	0.02865	0.18909	0.01906	0.00088	0.1066	0.00489	122983
Urdu	0.07615	0.20138	0.01004	0.06606	0.02352	0.01808	7e-05	0.23877	0.01782	0.02202	0.04054	0.1241	0.05005	0.01936	nan	0.09194	0.0001	138077
UrubúKaapor	0.00273	0.02459	0.10109	0.01639	0.01093	0.0082	nan	0.24044	nan	0.10109	0.17213	0.05464	0.01639	0.00546	nan	0.2459	nan	366
Vietnamese	0.05781	0.05813	0.07688	0.02252	0.01229	0.01606	0.00046	0.27387	0.02965	0.00594	0.04173	0.0449	0.14362	0.02736	0.00151	0.184	0.00329	43783
Warlpiri	0.0254	0.00317	nan	0.15873	nan	nan	nan	0.33968	nan	nan	0.07302	0.00317	0.17778	nan	nan	0.21905	nan	315
Wolof	0.00027	0.06959	0.03215	0.08835	0.03084	0.07129	0.00145	0.16119	0.01218	0.01534	0.14016	0.05843	0.12018	0.01963	5e-05	0.17891	nan	44258
Xavánte	nan	0.03333	0.03333	0.04167	nan	0.01667	nan	0.25	nan	0.325	0.13333	0.01667	0.01667	nan	nan	0.13333	nan	120
Kangri	0.05171	0.1253	0.0366	0.12132	0.01114	0.01949	0.00119	0.21997	0.01631	0.03779	0.08274	0.0354	0.12331	0.00438	nan	0.11337	nan	2514
Umbrian	0.14631	0.07506	0.04453	0.02545	0.02163	0.00509	nan	0.30662	0.01654	nan	0.03308	0.04198	nan	0.03308	nan	0.25064	nan	786
Yoruba	0.02378	0.08407	0.04003	0.04865	0.04222	0.03385	0.00012	0.18391	0.0091	0.02305	0.16462	0.02002	0.13514	0.04222	0.00012	0.148	0.00109	8243
Nhengatu	0.01305	0.06384	0.06291	0.02889	0.00746	0.03681	0.0014	0.17241	0.00466	0.0699	0.16123	0.01072	0.17847	0.02423	nan	0.16403	nan	2146
Cantonese	0.0268	0.01631	0.11338	0.03937	0.00884	0.02378	0.01552	0.14981	0.01667	0.11029	0.08457	0.012	0.19608	0.00812	nan	0.17847	nan	13918
Chinese	0.0264	0.04626	0.05124	0.03043	0.01395	0.01164	0.00013	0.26922	0.05087	0.09746	0.02059	0.08078	0.13911	0.00058	0.00018	0.15312	0.00804	287287
